ForkTable_repository_language,f2p_number,f2p_interval_hour
JavaScript,3483,13.490374291054396
Ruby,3461,13.418250259605399
Python,1948,14.581793678255615
PHP,1816,10.671413869442949
Java,1463,24.81047506206274
C,719,11.218022807828634
C++,564,15.614433647428347
C#,412,23.810762039278988
Shell,365,20.319763737922706
Objective-C,365,17.091678809957497
Perl,293,11.872536025786879
VimL,164,15.927278116531165
CoffeeScript,156,7.496063034188034
Haskell,150,18.05445185185185
Scala,149,19.91338888888889
Clojure,146,12.720131278538812
Emacs Lisp,114,9.919546783625732
Erlang,74,10.995822072072071
ActionScript,73,4.747625570776256
Groovy,71,23.575481220657277
Go,58,13.567409003831418
Puppet,50,-4.766861111111111
Lua,37,13.085405405405405
D,33,15.917887205387204
R,20,8.729583333333334
ColdFusion,18,-23.862098765432098
Common Lisp,18,22.951851851851853
OCaml,15,4.683055555555556
HaXe,13,3.8879273504273506
Rust,13,22.938675213675214
Assembly,12,39.24657407407407
DCPU-16 ASM,12,13.744351851851851
Delphi,10,1.4769444444444444
Objective-J,10,4.651916666666667
Arduino,8,3.401666666666667
Elixir,7,1.0992857142857142
Matlab,5,0.28444444444444444
PowerShell,5,4.219333333333333
Scheme,4,1.465486111111111
Racket,3,0.5486111111111112
Standard ML,3,4.651388888888889
Visual Basic,3,0.9562037037037038
F#,3,137.6284259259259
FORTRAN,3,0.27805555555555556
Smalltalk,2,4.6725
Nemerle,2,2.8744444444444444
Apex,2,3.2755555555555556
XQuery,2,16.726666666666667
Verilog,1,0.06777777777777778
Tcl,1,91.23027777777777
Prolog,1,1.2819444444444446
SuperCollider,1,0.13
Dylan,1,0.02361111111111111
Scilab,1,58.839444444444446
