Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,11903,0.00035342498292704653,35.34,33679000
Sao Tome and Principe,14,7.963232617400801e-05,7.96,175808
Saint Helena,14,0.0018766756032171583,187.67,7460
Lithuania,495,0.0001388499298737728,13.88,3565000
Ethiopia,7,7.953326155418604e-08,0.01,88013491
Argentina,2040,4.9343058850232716e-05,4.93,41343201
Bolivia,129,1.2968189333151577e-05,1.3,9947418
Cameroon,35,1.8140214424590584e-06,0.18,19294149
Ghana,39,1.6023114040446778e-06,0.16,24339838
Saudi Arabia,116,4.508044839190268e-06,0.45,25731776
Slovenia,102,5.0822122571001494e-05,5.08,2007000
Guatemala,23,1.6973618568843521e-06,0.17,13550440
Bosnia and Herzegovina,204,4.4444444444444447e-05,4.44,4590000
Germany,10449,0.00012773486188773496,12.77,81802257
Spain,1338,2.8770504117934297e-05,2.88,46505963
Netherlands,3370,0.00020246320216281167,20.25,16645000
Jamaica,16,5.619492896960978e-06,0.56,2847232
New Zealand,2667,0.000627193383685964,62.72,4252277
Jersey,11,0.00012112936616306215,12.11,90812
Pakistan,150,8.134278897341664e-07,0.08,184404791
United Arab Emirates,24,4.823545655764046e-06,0.48,4975593
India,1431,1.219836518072456e-06,0.12,1173108018
Kenya,16,3.995348814677393e-07,0.04,40046566
South Korea,887,1.8317876239884793e-05,1.83,48422644
Turkey,1737,2.2325295310189348e-05,2.23,77804122
Czech Republic,1427,0.00013621611302023674,13.62,10476000
Mongolia,16,5.1831632715867415e-06,0.52,3086918
France,5418,8.365191853081292e-05,8.37,64768389
Bermuda,61,0.0009332211428134322,93.32,65365
Slovakia,495,9.074243813015582e-05,9.07,5455000
Peru,120,4.0124381570430176e-06,0.4,29907003
Norway,5515,0.0011009851970893265,110.1,5009150
Cuba,188,1.6458023286352095e-05,1.65,11423000
China,6438,4.84044136885697e-06,0.48,1330044000
Armenia,27,9.097035040431266e-06,0.91,2968000
Ukraine,5386,0.00011859362145109799,11.86,45415596
Finland,943,0.00017982456140350878,17.98,5244000
Indonesia,704,2.89749682697345e-06,0.29,242968342
United States,138489,0.00044640338441514495,44.64,310232863
Sweden,5753,0.0006020368792325322,60.2,9555893
Belarus,2239,0.00023118224057821373,23.12,9685000
Russia,3677,2.6133246151440633e-05,2.61,140702000
Bulgaria,3147,0.0004402146658488121,44.02,7148785
Romania,935,4.257881338357299e-05,4.26,21959278
Portugal,616,5.7699512926189584e-05,5.77,10676000
South Africa,1504,3.069387755102041e-05,3.07,49000000
Nicaragua,125,2.0847481824331446e-05,2.08,5995928
Malaysia,502,1.7754369988833492e-05,1.78,28274729
Austria,2984,0.0003636806825106642,36.37,8205000
Vietnam,265,2.9585425571833244e-06,0.3,89571130
Hungary,741,7.423362051693047e-05,7.42,9982000
Brazil,1016,5.052129171605463e-06,0.51,201103330
Kuwait,2,7.170689662590368e-07,0.07,2789132
Costa Rica,1310,0.0002900655858217713,29.01,4516220
Ireland,32,6.92203645447236e-06,0.69,4622917
Nigeria,18,1.1688311688311688e-07,0.01,154000000
Ecuador,86,5.8145006615008656e-06,0.58,14790608
Bangladesh,73,4.6759363453639925e-07,0.05,156118464
Australia,11672,0.0005424862173084894,54.25,21515754
Iran,93,1.2089964939101677e-06,0.12,76923300
Algeria,10,2.891327936033649e-07,0.03,34586184
Chile,1282,7.655335078853236e-05,7.66,16746491
Belgium,1068,0.0001026626934538114,10.27,10403000
Thailand,47,7.005567190096811e-07,0.07,67089500
Georgia,50,1.0799136069114471e-05,1.08,4630000
Denmark,6473,0.0011803428154631655,118.03,5484000
Poland,881,2.2883116883116884e-05,2.29,38500000
Moldova,94,2.173913043478261e-05,2.17,4324000
Morocco,1,3.161812588744175e-08,0.0,31627428
Croatia,671,0.00014940993097305722,14.94,4491000
Switzerland,1086,0.00014325286901464187,14.33,7581000
Estonia,253,0.00019594631225942362,19.59,1291170
Uruguay,79,2.272073626689675e-05,2.27,3477000
Lebanon,5,1.2120486361180313e-06,0.12,4125247
Uzbekistan,85,3.0503408881544784e-06,0.31,27865738
Dominica,2,2.7467622539931057e-05,2.75,72813
Colombia,1002,2.266696886275587e-05,2.27,44205293
Taiwan,1357,5.927217784064424e-05,5.93,22894384
Cyprus,50,4.534419417472206e-05,4.53,1102677
Italy,1872,3.1024027579034705e-05,3.1,60340328
Nepal,13,4.4902136139684605e-07,0.04,28951852
Malta,41,0.00010173697270471464,10.17,403000
Venezuela,1527,5.6091805130530445e-05,5.61,27223228
Israel,249,3.385919334891219e-05,3.39,7353985
Iceland,185,0.0005988799326664725,59.89,308910
Zimbabwe,24,2.0597573365552517e-06,0.21,11651858
Jordan,38,5.930934270420948e-06,0.59,6407085
Kazakhstan,50,3.259452411994785e-06,0.33,15340000
Philippines,1325,1.3263239763829447e-05,1.33,99900177
Kyrgyzstan,112,2.033174878817331e-05,2.03,5508626
New Caledonia,83,0.00038338244939813577,38.34,216494
Macedonia,133,6.453178068898593e-05,6.45,2061000
Paraguay,7,1.0978962738968887e-06,0.11,6375830
Latvia,90,4.0577663619284126e-05,4.06,2217969
Japan,3198,2.5124127961787442e-05,2.51,127288000
Syria,70,3.1534216201289208e-06,0.32,22198110
Honduras,50,6.258280487369851e-06,0.63,7989415
Mexico,205,1.8227268340199604e-06,0.18,112468855
Egypt,124,1.5409111474719196e-06,0.15,80471869
Serbia,411,5.595759857216903e-05,5.6,7344847
United Kingdom,17976,0.0002883151203429333,28.83,62348447
Antarctica,1,0,0,0
Greece,713,6.481818181818182e-05,6.48,11000000
Sri Lanka,59,2.7424015721862845e-06,0.27,21513990
