Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,21042,0.0006247810208141572,62.48,33679000
Sao Tome and Principe,181,0.0010295322169639608,102.95,175808
Lithuania,493,0.00013828892005610097,13.83,3565000
Cambodia,48,3.320953556464513e-06,0.33,14453680
Swaziland,18,1.32934431568678e-05,1.33,1354051
Argentina,3141,7.597379796499066e-05,7.6,41343201
Ghana,37,1.520141588452643e-06,0.15,24339838
Saudi Arabia,142,5.5184686824570525e-06,0.55,25731776
Cape Verde,4,7.863814461161604e-06,0.79,508659
Slovenia,759,0.00037817638266068757,37.82,2007000
Guatemala,1,7.379834160366748e-08,0.01,13550440
Bosnia and Herzegovina,28,6.100217864923747e-06,0.61,4590000
Jordan,10,1.5607721764265652e-06,0.16,6407085
Spain,2172,4.670368829906823e-05,4.67,46505963
Netherlands,14589,0.0008764794232502253,87.65,16645000
Jamaica,62,2.177553497572379e-05,2.18,2847232
Oman,2,6.739187058604308e-07,0.07,2967717
Tanzania,3,7.1611188484348e-08,0.01,41892895
New Zealand,12335,0.002900798795562942,290.08,4252277
Pakistan,49,2.65719777313161e-07,0.03,184404791
Albania,6,2.0087366653364367e-06,0.2,2986952
United Arab Emirates,67,1.3465731622341297e-05,1.35,4975593
Kosovo,1,5.555555555555555e-07,0.06,1800000
India,10625,9.057136970314356e-06,0.91,1173108018
Azerbaijan,1,1.204309694500351e-07,0.01,8303512
Kenya,418,1.043784877834469e-05,1.04,40046566
South Korea,4199,8.671562833289317e-05,8.67,48422644
Macao,42,9.349997105953277e-05,9.35,449198
Turkey,1071,1.3765337522862864e-05,1.38,77804122
Czech Republic,6228,0.0005945017182130585,59.45,10476000
France,23483,0.00036256884511980065,36.26,64768389
Bermuda,227,0.003472806547846707,347.28,65365
Slovakia,8048,0.0014753437213565535,147.53,5455000
Peru,10,3.3436984642025145e-07,0.03,29907003
Norway,11032,0.0022023696635157662,220.24,5009150
Benin,2,2.208478126680514e-07,0.02,9056010
Singapore,78,1.6591970890025227e-05,1.66,4701069
Montenegro,1,1.499857513536214e-06,0.15,666730
China,33099,2.4885642880987397e-05,2.49,1330044000
Armenia,98,3.30188679245283e-05,3.3,2968000
Dominican Republic,10,1.0179338568974333e-06,0.1,9823821
Ukraine,5896,0.00012982324397988745,12.98,45415596
Finland,8009,0.0015272692601067887,152.73,5244000
Indonesia,863,3.551903070565465e-06,0.36,242968342
United States,302796,0.0009760281263303817,97.6,310232863
Sweden,14953,0.0015647935781616642,156.48,9555893
Belarus,3313,0.0003420753742901394,34.21,9685000
Russia,12198,8.669386362667197e-05,8.67,140702000
Bulgaria,3617,0.0005059601037099311,50.6,7148785
Romania,2161,9.840942857957352e-05,9.84,21959278
Portugal,5998,0.0005618209067066317,56.18,10676000
South Africa,3814,7.783673469387754e-05,7.78,49000000
Nicaragua,94,1.5677306331897246e-05,1.57,5995928
Liechtenstein,13,0.00037142857142857143,37.14,35000
Malaysia,1544,5.460706626047592e-05,5.46,28274729
Austria,5148,0.0006274223034734918,62.74,8205000
Vietnam,514,5.738456129781996e-06,0.57,89571130
Uganda,19,5.6888472425349e-07,0.06,33398682
Hungary,2529,0.0002533560408735724,25.34,9982000
Brazil,4652,2.313238671880769e-05,2.31,201103330
Guyana,3,4.0080909996980575e-06,0.4,748486
Costa Rica,6959,0.0015408903906364171,154.09,4516220
Ireland,1095,0.00023686343492647607,23.69,4622917
Nigeria,18,1.1688311688311688e-07,0.01,154000000
Ecuador,129,8.7217509922513e-06,0.87,14790608
Bangladesh,230,1.4732402184023537e-06,0.15,156118464
Australia,10587,0.0004920580519743811,49.21,21515754
Iran,55,7.149979265060132e-07,0.07,76923300
Chile,2012,0.00012014457237638619,12.01,16746491
Belgium,2733,0.00026271267903489376,26.27,10403000
Thailand,345,5.142384426773191e-06,0.51,67089500
Hong Kong,18,2.6091925331867545e-06,0.26,6898686
Georgia,61,1.3174946004319655e-05,1.32,4630000
Denmark,2613,0.0004764770240700219,47.65,5484000
Philippines,671,6.716704816248724e-06,0.67,99900177
Moldova,165,3.8159111933395006e-05,3.82,4324000
Croatia,705,0.00015698062792251168,15.7,4491000
Switzerland,4649,0.0006132436354043002,61.32,7581000
Estonia,1128,0.0008736262459629638,87.36,1291170
Uruguay,546,0.00015703192407247627,15.7,3477000
Lebanon,26,6.3026529078137625e-06,0.63,4125247
Uzbekistan,277,9.940522659044594e-06,0.99,27865738
Tunisia,16,1.5109984158125984e-06,0.15,10589025
Colombia,1892,4.280030447937536e-05,4.28,44205293
Taiwan,3279,0.0001432228969340254,14.32,22894384
Cyprus,49,4.443731029122762e-05,4.44,1102677
Madagascar,22,1.0337450081863207e-06,0.1,21281844
Italy,7227,0.0001197706449325234,11.98,60340328
Nepal,4,1.3816041889133724e-07,0.01,28951852
Malta,1,2.481389578163772e-06,0.25,403000
Venezuela,1735,6.373233916271795e-05,6.37,27223228
Israel,1071,0.00014563532560917653,14.56,7353985
Iceland,97,0.000314007316046745,31.4,308910
Zambia,80,5.94340172826693e-06,0.59,13460305
Germany,35768,0.00043724954923920985,43.72,81802257
Gambia,2,1.2552910517832665e-06,0.13,1593256
Kazakhstan,117,7.627118644067797e-06,0.76,15340000
Poland,6390,0.00016597402597402598,16.6,38500000
Kyrgyzstan,9,1.633801241906784e-06,0.16,5508626
Macedonia,33,1.601164483260553e-05,1.6,2061000
Latvia,1007,0.0004540189696068791,45.4,2217969
Japan,39092,0.0003071145748224499,30.71,127288000
Syria,146,6.577136521983178e-06,0.66,22198110
Guadeloupe,13,2.9345372460496613e-05,2.93,443000
Honduras,21,2.6284778046953377e-06,0.26,7989415
Mexico,1024,9.104742819689949e-06,0.91,112468855
Egypt,283,3.5167568930205907e-06,0.35,80471869
Cuba,516,4.51720213604132e-05,4.52,11423000
Serbia,468,6.371814143984211e-05,6.37,7344847
United Kingdom,27663,0.0004436838659349446,44.37,62348447
Greece,5167,0.0004697272727272727,46.97,11000000
Sri Lanka,43,1.9986994509154274e-06,0.2,21513990
Namibia,37,1.7383370503990894e-05,1.74,2128471
