Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,36728,0.001090531191543692,109.05,33679000
East Timor,12,1.039298473530367e-05,1.04,1154625
Sao Tome and Principe,644,0.0036630870040043682,366.31,175808
Saint Helena,63,0.008445040214477211,844.5,7460
Lithuania,1412,0.0003960729312762973,39.61,3565000
Cambodia,889,6.150682732701983e-05,6.15,14453680
Ethiopia,8,9.089515606192691e-08,0.01,88013491
Argentina,7170,0.00017342633919420028,17.34,41343201
Bolivia,113,1.1359731741442856e-05,1.14,9947418
Cameroon,159,8.240840267171151e-06,0.82,19294149
Ghana,698,2.867726564162013e-05,2.87,24339838
Saudi Arabia,30,1.1658736653078279e-06,0.12,25731776
Cape Verde,1,1.965953615290401e-06,0.2,508659
Slovenia,4723,0.0023532635774788243,235.33,2007000
Guatemala,51,3.7637154217870414e-06,0.38,13550440
Bosnia and Herzegovina,60,1.30718954248366e-05,1.31,4590000
Jordan,9,1.4046949587839087e-06,0.14,6407085
Spain,4159,8.942939209752521e-05,8.94,46505963
Liberia,9,2.442283415593057e-06,0.24,3685076
Netherlands,20164,0.0012114148392910783,121.14,16645000
Pakistan,1557,8.443381495440648e-06,0.84,184404791
Oman,10,3.3695935293021536e-06,0.34,2967717
Tanzania,1,2.3870396161449335e-08,0.0,41892895
New Zealand,17441,0.004101567230921222,410.16,4252277
Jersey,100,0.0011011760560278377,110.12,90812
Jamaica,224,7.867290055745369e-05,7.87,2847232
United Arab Emirates,83,1.6681428726183994e-05,1.67,4975593
Kosovo,7,3.888888888888889e-06,0.39,1800000
India,21989,1.8744224455552227e-05,1.87,1173108018
Azerbaijan,84,1.011620143380295e-05,1.01,8303512
Kenya,1674,4.180133697356223e-05,4.18,40046566
South Korea,11191,0.00023111088275146644,23.11,48422644
Turkey,6698,8.608798387314234e-05,8.61,77804122
Afghanistan,20,6.867828570482774e-07,0.07,29121286
Fiji,3,3.424723995785306e-06,0.34,875983
Czech Republic,16182,0.0015446735395189004,154.47,10476000
Mongolia,49,1.5873437519234396e-05,1.59,3086918
France,73029,0.0011275407822788368,112.75,64768389
Bermuda,888,0.013585252046202097,1358.53,65365
Slovakia,530,9.715857011915674e-05,9.72,5455000
Peru,341,1.1402011762930575e-05,1.14,29907003
Norway,15209,0.00303624367407644,303.62,5009150
Malawi,21,1.3594432756109403e-06,0.14,15447500
Benin,3,3.312717190020771e-07,0.03,9056010
Cuba,10955,0.0009590300271382299,95.9,11423000
