Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,132725,0.003940883042845691,394.09,33679000
East Timor,3,2.5982461838259176e-06,0.26,1154625
Sao Tome and Principe,598,0.0034014379322897708,340.14,175808
Turkmenistan,17,3.440657562281974e-06,0.34,4940916
Saint Helena,118,0.01581769436997319,1581.77,7460
Lithuania,2152,0.0006036465638148668,60.36,3565000
Cambodia,677,4.68392824526349e-05,4.68,14453680
Ethiopia,111,1.2611702903592359e-06,0.13,88013491
Swaziland,19,1.4031967776693788e-05,1.4,1354051
Argentina,23239,0.0005620996787355677,56.21,41343201
Bolivia,158,1.5883518718123637e-05,1.59,9947418
Cameroon,312,1.617070542992075e-05,1.62,19294149
Ghana,696,2.8595095826028095e-05,2.86,24339838
Saudi Arabia,197,7.655903735521404e-06,0.77,25731776
Cape Verde,3,5.897860845871202e-06,0.59,508659
Slovenia,3469,0.001728450423517688,172.85,2007000
Guatemala,72,5.313480595464059e-06,0.53,13550440
Bosnia and Herzegovina,403,8.77995642701525e-05,8.78,4590000
Germany,118078,0.00144345650511819,144.35,81802257
Spain,12450,0.00026770760558167563,26.77,46505963
Liberia,39,1.0583228134236581e-05,1.06,3685076
Netherlands,45420,0.002728747371583058,272.87,16645000
Pakistan,2340,1.2689475079852995e-05,1.27,184404791
Oman,1,3.369593529302154e-07,0.03,2967717
Tanzania,43,1.0264270349423215e-06,0.1,41892895
Palestinian Territory,15,3.9473684210526315e-06,0.39,3800000
Niue,7,0.003231763619575254,323.18,2166
New Zealand,61022,0.014350429193582637,1435.04,4252277
Jersey,104,0.0011452230982689513,114.52,90812
Jamaica,933,0.00032768667955403706,32.77,2847232
Albania,86,2.879189220315559e-05,2.88,2986952
United Arab Emirates,852,0.00017123587077962364,17.12,4975593
Kosovo,36,2e-05,2.0,1800000
India,40729,3.471888298013491e-05,3.47,1173108018
Azerbaijan,205,2.46883487372572e-05,2.47,8303512
Madagascar,30,1.4096522838904373e-06,0.14,21281844
Kenya,3322,8.295342976473938e-05,8.3,40046566
South Korea,14771,0.0003050432355573149,30.5,48422644
Macao,219,0.0004875355633818494,48.75,449198
Turkey,8235,0.00010584272128923966,10.58,77804122
Fiji,6,6.849447991570612e-06,0.68,875983
Czech Republic,13782,0.001315578465063001,131.56,10476000
Saint Lucia,10,6.21419072594176e-05,6.21,160922
Mongolia,86,2.7859502584778735e-05,2.79,3086918
France,100819,0.001556608116345151,155.66,64768389
Bermuda,2338,0.03576837757209516,3576.84,65365
Slovakia,1298,0.00023794683776351972,23.79,5455000
Somalia,133,1.3152100682198473e-05,1.32,10112453
Peru,1642,5.490352878220529e-05,5.49,29907003
Norway,30501,0.006089057025643073,608.91,5009150
Malawi,601,3.890597184010358e-05,3.89,15447500
Benin,357,3.942133456124717e-05,3.94,9056010
Cuba,21326,0.001866935130876302,186.69,11423000
Montenegro,641,0.0009614086661767133,96.14,666730
China,121798,9.157441407953421e-05,9.16,1330044000
Armenia,2652,0.0008935309973045823,89.35,2968000
Dominican Republic,142,1.4454660767943553e-05,1.45,9823821
Ukraine,31483,0.0006932200119095652,69.32,45415596
Bahrain,6,8.130037235570538e-06,0.81,738004
Tonga,3,2.4473813020068526e-05,2.45,122580
Finland,24579,0.004687070938215103,468.71,5244000
Libya,2,3.095278554950635e-07,0.03,6461454
Indonesia,8727,3.591825967187116e-05,3.59,242968342
United States,1628405,0.005248976476099503,524.9,310232863
Tajikistan,3,4.0066836826070796e-07,0.04,7487489
Sweden,28117,0.002942372837368522,294.24,9555893
Belarus,8750,0.0009034589571502323,90.35,9685000
Mali,1182,8.56748094460319e-05,8.57,13796354
Russia,42216,0.00030003837898537333,30.0,140702000
Bulgaria,10359,0.0014490574272411326,144.91,7148785
Mauritius,16,1.2363766745176585e-05,1.24,1294104
Romania,15569,0.0007089941663837946,70.9,21959278
Angola,11,8.417404713639509e-07,0.08,13068161
Portugal,19810,0.001855563881603597,185.56,10676000
South Africa,14045,0.0002866326530612245,28.66,49000000
Nicaragua,1430,0.00023849519207035176,23.85,5995928
Liechtenstein,24,0.0006857142857142857,68.57,35000
Malaysia,6364,0.0002250773119699927,22.51,28274729
Austria,16680,0.0020329067641681902,203.29,8205000
Vietnam,3852,4.3004928038755344e-05,4.3,89571130
Uganda,199,5.958318954023395e-06,0.6,33398682
Hungary,6469,0.0006480665197355239,64.81,9982000
Brazil,21979,0.00010929207388062644,10.93,201103330
Pitcairn,31,0.6739130434782609,67391.3,46
Kuwait,10,3.585344831295184e-06,0.36,2789132
Panama,8,2.345576067618267e-06,0.23,3410676
Costa Rica,14872,0.0032930193834667045,329.3,4516220
Luxembourg,55,0.00011054432023282644,11.05,497538
Bahamas,13,4.3076311342324133e-05,4.31,301790
Gibraltar,8,0.00028690288337397793,28.69,27884
Ireland,2859,0.0006184406944792649,61.84,4622917
Nigeria,702,4.558441558441559e-06,0.46,154000000
Ecuador,1499,0.00010134809873941625,10.13,14790608
Bangladesh,2283,1.4623510515706842e-05,1.46,156118464
Australia,56771,0.00263857822505314,263.86,21515754
Iran,3304,4.2951875439561225e-05,4.3,76923300
