Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,59066,0.0017537931648801924,175.38,33679000
East Timor,16,1.3857312980404893e-05,1.39,1154625
Sao Tome and Principe,73,0.00041522570076447035,41.52,175808
Saint Helena,9,0.0012064343163538875,120.64,7460
Lithuania,2627,0.0007368863955119215,73.69,3565000
Cambodia,914,6.323649063767844e-05,6.32,14453680
Ethiopia,472,5.362814207653688e-06,0.54,88013491
Argentina,7076,0.00017115268844325817,17.12,41343201
Bolivia,336,3.3777609425883176e-05,3.38,9947418
Cameroon,218,1.1298762127316422e-05,1.13,19294149
Ghana,724,2.9745473244316582e-05,2.97,24339838
Saudi Arabia,110,4.2748701061287025e-06,0.43,25731776
Slovenia,1094,0.0005450921773791729,54.51,2007000
Guatemala,30,2.2139502481100243e-06,0.22,13550440
Bosnia and Herzegovina,183,3.9869281045751634e-05,3.99,4590000
Jordan,123,1.9197497770046752e-05,1.92,6407085
Spain,4091,8.796721401081405e-05,8.8,46505963
Netherlands,35573,0.0021371583057975367,213.72,16645000
Jamaica,696,0.00024444794101780254,24.44,2847232
Oman,2,6.739187058604308e-07,0.07,2967717
Tanzania,4,9.548158464579734e-08,0.01,41892895
Palestinian Territory,12,3.157894736842105e-06,0.32,3800000
Greenland,1,1.7738359201773837e-05,1.77,56375
New Zealand,15797,0.003714950836928074,371.5,4252277
Yemen,43,1.8301485131469144e-06,0.18,23495361
Pakistan,675,3.6604255038037487e-06,0.37,184404791
Albania,296,9.909767548993087e-05,9.91,2986952
United Arab Emirates,81,1.627946658820366e-05,1.63,4975593
Kosovo,66,3.6666666666666666e-05,3.67,1800000
India,14728,1.2554683604591986e-05,1.26,1173108018
Azerbaijan,14,1.6860335723004916e-06,0.17,8303512
Madagascar,10,4.6988409463014576e-07,0.05,21281844
Kenya,2661,6.644764497410339e-05,6.64,40046566
South Korea,2180,4.5020259529818324e-05,4.5,48422644
Tajikistan,10,1.335561227535693e-06,0.13,7487489
Turkey,2308,2.9664238097822118e-05,2.97,77804122
Afghanistan,24,8.241394284579328e-07,0.08,29121286
Czech Republic,13966,0.0013331424207712868,133.31,10476000
Mongolia,21,6.802901793957598e-06,0.68,3086918
France,92517,0.0014284283031958693,142.84,64768389
Bermuda,796,0.012177770978352329,1217.78,65365
Slovakia,934,0.00017121906507791017,17.12,5455000
Somalia,6,5.933278503247431e-07,0.06,10112453
Peru,878,2.935767251569808e-05,2.94,29907003
Norway,9153,0.0018272561212980246,182.73,5009150
Malawi,17,1.1005016993040946e-06,0.11,15447500
Benin,9,9.938151570062311e-07,0.1,9056010
Cuba,807,7.064694038343692e-05,7.06,11423000
Montenegro,10,1.499857513536214e-05,1.5,666730
China,22644,1.7025000676669343e-05,1.7,1330044000
Armenia,435,0.0001465633423180593,14.66,2968000
Dominican Republic,399,4.061556089020759e-05,4.06,9823821
Ukraine,21783,0.00047963699518553053,47.96,45415596
Bahrain,4,5.420024823713693e-06,0.54,738004
Indonesia,9578,3.942077359197685e-05,3.94,242968342
Libya,14,2.1666949884654446e-06,0.22,6461454
Finland,6323,0.0012057589626239512,120.58,5244000
United States,516215,0.0016639597591567854,166.4,310232863
Sweden,7996,0.0008367611483301456,83.68,9555893
Belarus,3885,0.00040113577697470316,40.11,9685000
Russia,20629,0.00014661483134568095,14.66,140702000
Bulgaria,5167,0.0007227801647412812,72.28,7148785
Mauritius,41,3.1682152284515e-05,3.17,1294104
Romania,9326,0.0004246952017274885,42.47,21959278
Angola,2,1.530437220661729e-07,0.02,13068161
Portugal,4266,0.0003995878606219558,39.96,10676000
South Africa,7363,0.000150265306122449,15.03,49000000
Cyprus,232,0.00021039706097071036,21.04,1102677
Liechtenstein,21,0.0006,60.0,35000
Malaysia,9938,0.0003514799381454726,35.15,28274729
Austria,7239,0.0008822669104204753,88.23,8205000
Vietnam,2281,2.5465794614849673e-05,2.55,89571130
Uganda,63,1.8863019804194668e-06,0.19,33398682
Hungary,4660,0.0004668403125626127,46.68,9982000
Sint Maarten,3,8.015175398754976e-05,8.02,37429
Brazil,6907,3.434552774436903e-05,3.43,201103330
Kuwait,184,6.59703448958314e-05,6.6,2789132
Panama,10,2.9319700845228336e-06,0.29,3410676
Guyana,8,1.0688242665861486e-05,1.07,748486
Costa Rica,6924,0.0015331405467404156,153.31,4516220
Luxembourg,12,2.4118760778071222e-05,2.41,497538
Bahamas,7,2.319493687663607e-05,2.32,301790
Gibraltar,14,0.0005020800459044613,50.21,27884
Ireland,429,9.279855121777008e-05,9.28,4622917
Nigeria,511,3.3181818181818183e-06,0.33,154000000
Ecuador,99,6.693436808006811e-06,0.67,14790608
Bangladesh,1942,1.2439271757119004e-05,1.24,156118464
Australia,28106,0.001306298631226217,130.63,21515754
Iran,3817,4.962085609951731e-05,4.96,76923300
Algeria,10,2.891327936033649e-07,0.03,34586184
El Salvador,47,7.76594563441497e-06,0.78,6052064
Tuvalu,5,0.0004774637127578304,47.75,10472
Chile,5653,0.0003375632542960791,33.76,16746491
Puerto Rico,34,8.680927899276726e-06,0.87,3916632
Belgium,7897,0.0007591079496299145,75.91,10403000
Thailand,1672,2.4921932642216742e-05,2.49,67089500
Haiti,3,3.1091549689892886e-07,0.03,9648924
Hong Kong,15,2.174327110988962e-06,0.22,6898686
Sierra Leone,59,1.1247318038887126e-05,1.12,5245695
Georgia,1082,0.00023369330453563715,23.37,4630000
Denmark,14587,0.002659919766593727,265.99,5484000
Philippines,4037,4.0410338812512816e-05,4.04,99900177
Moldova,1417,0.00032770582793709526,32.77,4324000
Morocco,208,6.576570184587883e-06,0.66,31627428
Croatia,3564,0.0007935871743486974,79.36,4491000
Guernsey,20,0.00030661679033543876,30.66,65228
Switzerland,14295,0.0018856351404827859,188.56,7581000
Estonia,2558,0.0019811488804727497,198.11,1291170
Uruguay,1352,0.00038884095484613174,38.88,3477000
Lebanon,224,5.42997788980878e-05,5.43,4125247
Uzbekistan,149,5.34706814511785e-06,0.53,27865738
Tunisia,101,9.538177499817027e-06,0.95,10589025
Rwanda,30,2.713464645726438e-06,0.27,11055976
Colombia,8003,0.00018104166847169185,18.1,44205293
Taiwan,6865,0.00029985519592927245,29.99,22894384
Nicaragua,385,6.421024401894086e-05,6.42,5995928
Qatar,11,1.3080818050577577e-05,1.31,840926
Italy,10376,0.00017195796482909407,17.2,60340328
Curacao,8,5.6431020131766434e-05,5.64,141766
Bhutan,10,1.4288837417321214e-05,1.43,699847
Nepal,604,2.0862223252591924e-05,2.09,28951852
Malta,56,0.0001389578163771712,13.9,403000
Democratic Republic of the Congo,2,2.8202205697327807e-08,0.0,70916439
Maldives,1,2.527486414760521e-06,0.25,395650
Venezuela,8561,0.0003144740954305639,31.45,27223228
Israel,571,7.76449775189914e-05,7.76,7353985
Iceland,169,0.0005470849114628856,54.71,308910
Zambia,13,9.658027808433762e-07,0.1,13460305
Senegal,72,5.8426136217939874e-06,0.58,12323252
Zimbabwe,152,1.304512979818326e-05,1.3,11651858
Germany,84783,0.001036438395581188,103.64,81802257
Gambia,1,6.276455258916333e-07,0.06,1593256
Kazakhstan,1960,0.00012777053455019556,12.78,15340000
Poland,8465,0.00021987012987012986,21.99,38500000
Kyrgyzstan,154,2.7956154583738305e-05,2.8,5508626
Macedonia,545,0.00026443474041727314,26.44,2061000
Paraguay,45,7.057904617908571e-06,0.71,6375830
Latvia,4289,0.0019337511029234402,193.38,2217969
Japan,22577,0.00017736942995411978,17.74,127288000
Syria,359,1.617254802323261e-05,1.62,22198110
Honduras,140,1.7523185364635582e-05,1.75,7989415
Myanmar,139,2.602295779035059e-06,0.26,53414374
Mexico,2011,1.788050567421532e-05,1.79,112468855
Egypt,351,4.361772683569708e-06,0.44,80471869
Singapore,401,8.529974778077072e-05,8.53,4701069
Serbia,777,0.00010578845277512247,10.58,7344847
United Kingdom,109437,0.0017552482101117932,175.52,62348447
Greece,3567,0.0003242727272727273,32.43,11000000
Sri Lanka,4736,0.00022013582789617362,22.01,21513990
Namibia,64,3.0068532763659924e-05,3.01,2128471
Botswana,50,2.463895310073833e-05,2.46,2029307
