Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,51481,0.001528578639508299,152.86,33679000
East Timor,96,8.314387788242936e-05,8.31,1154625
Sao Tome and Principe,494,0.002809883509282854,280.99,175808
Saint Helena,102,0.013672922252010724,1367.29,7460
Lithuania,1568,0.0004398316970546985,43.98,3565000
Cambodia,5,3.459326621317201e-07,0.03,14453680
Ethiopia,8,9.089515606192691e-08,0.01,88013491
Swaziland,2,1.4770492396519776e-06,0.15,1354051
Argentina,7340,0.000177538260765053,17.75,41343201
Bolivia,115,1.1560788940406446e-05,1.16,9947418
Cameroon,1,5.1829184070258815e-08,0.01,19294149
Ghana,248,1.018905713341231e-05,1.02,24339838
Saudi Arabia,462,1.795445444574055e-05,1.8,25731776
Slovenia,5884,0.002931738913801694,293.17,2007000
Guatemala,18,1.3283701488660147e-06,0.13,13550440
Bosnia and Herzegovina,68,1.4814814814814815e-05,1.48,4590000
Jordan,79,1.2330100193769865e-05,1.23,6407085
Spain,5463,0.00011746880717210393,11.75,46505963
Liberia,5,1.3568241197739205e-06,0.14,3685076
Netherlands,23909,0.001436407329528387,143.64,16645000
Jamaica,519,0.00018228230084517172,18.23,2847232
New Zealand,38358,0.009020578856927712,902.06,4252277
Pakistan,501,2.716849151712116e-06,0.27,184404791
Albania,2,6.695788884454789e-07,0.07,2986952
United Arab Emirates,235,4.723055121268962e-05,4.72,4975593
Kosovo,15,8.333333333333334e-06,0.83,1800000
India,24053,2.0503653227950233e-05,2.05,1173108018
Azerbaijan,166,1.999154092870583e-05,2.0,8303512
Madagascar,8,3.759072757041166e-07,0.04,21281844
Kenya,3002,7.496273213538459e-05,7.5,40046566
South Korea,8376,0.00017297692377144875,17.3,48422644
Macao,49,0.0001090832995694549,10.91,449198
Turkey,4998,6.423824177336003e-05,6.42,77804122
Czech Republic,10023,0.000956758304696449,95.68,10476000
Mongolia,77,2.494397324451119e-05,2.49,3086918
France,52260,0.0008068750945773871,80.69,64768389
Bermuda,406,0.006211275147250057,621.13,65365
Slovakia,2163,0.00039651695692025665,39.65,5455000
Peru,335,1.1201389855078424e-05,1.12,29907003
Norway,15101,0.0030146831298723336,301.47,5009150
Malawi,1,6.473539407671144e-08,0.01,15447500
Benin,12,1.3250868760083084e-06,0.13,9056010
Cuba,1108,9.69972861770113e-05,9.7,11423000
Montenegro,3,4.499572540608642e-06,0.45,666730
China,43292,3.2549299120931335e-05,3.25,1330044000
Armenia,117,3.942048517520216e-05,3.94,2968000
Dominican Republic,29,2.9520081850025566e-06,0.3,9823821
Ukraine,14397,0.0003170056383274151,31.7,45415596
Bahrain,53,7.181532891420642e-05,7.18,738004
Finland,9943,0.0018960717009916094,189.61,5244000
Indonesia,3553,1.462330429863163e-05,1.46,242968342
United States,816423,0.0026316457647493005,263.16,310232863
Sweden,18205,0.0019051071417396574,190.51,9555893
Belarus,3588,0.00037046979865771815,37.05,9685000
Mali,988,7.161312329329908e-05,7.16,13796354
Russia,29745,0.00021140424443149352,21.14,140702000
Bulgaria,2040,0.0002853631770993253,28.54,7148785
Mauritius,12,9.27282505888244e-06,0.93,1294104
Romania,7055,0.00032127650098514167,32.13,21959278
Portugal,7553,0.0007074747096290745,70.75,10676000
South Africa,17672,0.0003606530612244898,36.07,49000000
Cyprus,120,0.00010882606601933295,10.88,1102677
Malaysia,2288,8.092031580567934e-05,8.09,28274729
Austria,8446,0.0010293723339427178,102.94,8205000
Vietnam,983,1.0974518240419654e-05,1.1,89571130
Uganda,1762,5.2756572849192074e-05,5.28,33398682
Hungary,1636,0.0001638950110198357,16.39,9982000
Sint Maarten,5,0.00013358625664591626,13.36,37429
Brazil,10012,4.978535163987588e-05,4.98,201103330
Costa Rica,7183,0.001590489391570827,159.05,4516220
Luxembourg,44,8.843545618626115e-05,8.84,497538
Bahamas,94,0.00031147486662911293,31.15,301790
Ireland,1025,0.0002217214801823178,22.17,4622917
Nigeria,118,7.662337662337662e-07,0.08,154000000
Ecuador,234,1.5820850637107008e-05,1.58,14790608
Bangladesh,553,3.5421819164195725e-06,0.35,156118464
Australia,22340,0.0010383089525935274,103.83,21515754
Iran,412,5.355984467645044e-06,0.54,76923300
Algeria,615,1.7781666806606938e-05,1.78,34586184
El Salvador,299,4.9404632865746296e-05,4.94,6052064
Chile,19882,0.0011872337912461782,118.72,16746491
Puerto Rico,31,7.914963672869956e-06,0.79,3916632
Belgium,5285,0.0005080265308084206,50.8,10403000
Thailand,2603,3.879891786345106e-05,3.88,67089500
Iraq,1,3.370225506844001e-08,0.0,29671605
Hong Kong,137,1.9858854280365854e-05,1.99,6898686
Georgia,817,0.00017645788336933046,17.65,4630000
Denmark,6709,0.0012233770970094821,122.34,5484000
Philippines,5535,5.5405307239846034e-05,5.54,99900177
Moldova,468,0.00010823311748381129,10.82,4324000
Morocco,38,1.2014887837227865e-06,0.12,31627428
Croatia,1168,0.0002600757069694945,26.01,4491000
French Polynesia,1,3.6970626836978022e-06,0.37,270485
Switzerland,20818,0.0027460757156048013,274.61,7581000
Isle of Man,139,0.0018521232794574212,185.21,75049
Estonia,2107,0.001631853280358125,163.19,1291170
Uruguay,3371,0.0009695139488064423,96.95,3477000
Lebanon,244,5.9147973442559925e-05,5.91,4125247
Uzbekistan,44,1.5789999891623183e-06,0.16,27865738
Tunisia,45,4.249683044472933e-06,0.42,10589025
Rwanda,172,1.5557197302164912e-05,1.56,11055976
Colombia,9073,0.00020524691466245907,20.52,44205293
Taiwan,6493,0.00028360666965313415,28.36,22894384
Nicaragua,1103,0.00018395817961790067,18.4,5995928
Qatar,16,1.902664443720375e-05,1.9,840926
Italy,16077,0.0002664387240321266,26.64,60340328
Nepal,100,3.454010472283431e-06,0.35,28951852
Venezuela,5561,0.00020427408535093634,20.43,27223228
Israel,2252,0.0003062285277981938,30.62,7353985
Iceland,1471,0.004761904761904762,476.19,308910
Senegal,25,2.0286852853451346e-06,0.2,12323252
Zimbabwe,9,7.724090012082193e-07,0.08,11651858
Germany,64571,0.0007893547484881744,78.94,81802257
Kazakhstan,855,5.573663624511082e-05,5.57,15340000
Poland,10186,0.0002645714285714286,26.46,38500000
Eritrea,51,8.803752953572805e-06,0.88,5792984
