Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,57180,0.0016977938774904242,169.78,33679000
Sao Tome and Principe,127,0.0007223789588642155,72.24,175808
Lithuania,2712,0.0007607293127629733,76.07,3565000
Cambodia,606,4.192703865036448e-05,4.19,14453680
Argentina,13708,0.00033156600525440687,33.16,41343201
Bolivia,64,6.433830366834891e-06,0.64,9947418
Cameroon,13,6.737793929133645e-07,0.07,19294149
Ghana,752,3.089585066260507e-05,3.09,24339838
Saudi Arabia,94,3.6530708179645276e-06,0.37,25731776
Slovenia,779,0.000388141504733433,38.81,2007000
Guatemala,158,1.1660137973379461e-05,1.17,13550440
Bosnia and Herzegovina,621,0.0001352941176470588,13.53,4590000
Germany,86995,0.0010634792142715573,106.35,81802257
Spain,8431,0.00018128858013326162,18.13,46505963
Liberia,124,3.364923817039323e-05,3.36,3685076
Netherlands,21068,0.0012657254430759987,126.57,16645000
Jamaica,187,6.567782323323144e-05,6.57,2847232
Tanzania,38,9.070750541350746e-07,0.09,41892895
Palestinian Territory,10,2.631578947368421e-06,0.26,3800000
New Zealand,29569,0.00695368622505072,695.37,4252277
Jersey,30,0.00033035281680835133,33.04,90812
Pakistan,938,5.086635737137654e-06,0.51,184404791
Albania,1,3.3478944422273943e-07,0.03,2986952
United Arab Emirates,141,2.8338330727613775e-05,2.83,4975593
Kosovo,4,2.222222222222222e-06,0.22,1800000
India,23789,2.027861001287607e-05,2.03,1173108018
Azerbaijan,588,7.081341003662065e-05,7.08,8303512
Kenya,1005,2.5095784742192377e-05,2.51,40046566
South Korea,5097,0.00010526067101994678,10.53,48422644
Tajikistan,10,1.335561227535693e-06,0.13,7487489
Turkey,1900,2.442029999387436e-05,2.44,77804122
Afghanistan,147,5.047853999304839e-06,0.5,29121286
Czech Republic,13628,0.0013008781977854142,130.09,10476000
Mongolia,489,0.00015841042748786978,15.84,3086918
France,34997,0.0005403407517207198,54.03,64768389
Bermuda,887,0.013569953338942859,1357.0,65365
Slovakia,330,6.049495875343721e-05,6.05,5455000
Peru,953,3.186544636384996e-05,3.19,29907003
Norway,16441,0.003282193585738099,328.22,5009150
Malawi,817,5.288881696067325e-05,5.29,15447500
Benin,5,5.521195316701284e-07,0.06,9056010
Cuba,1522,0.00013323995447780794,13.32,11423000
Montenegro,51,7.649273319034692e-05,7.65,666730
China,44421,3.339814321932207e-05,3.34,1330044000
Armenia,3,1.0107816711590296e-06,0.1,2968000
Dominican Republic,92,9.364991483456387e-06,0.94,9823821
Ukraine,27337,0.000601929786410818,60.19,45415596
Finland,5855,0.00111651411136537,111.65,5244000
Indonesia,1658,6.82393428852554e-06,0.68,242968342
United States,1202882,0.003877351961903533,387.74,310232863
Sweden,15490,0.0016209892680882885,162.1,9555893
Vietnam,4192,4.680079396117923e-05,4.68,89571130
Mali,34,2.4644192226438955e-06,0.25,13796354
Russia,33895,0.0002408992054128584,24.09,140702000
Bulgaria,6191,0.000866021288932315,86.6,7148785
