Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,595229,0.01767359482169898,1767.36,33679000
Brazil,189172,0.0009406706492627447,94.07,201103330
Italy,105871,0.00175456454263888,175.46,60340328
Czech Republic,120255,0.0114790950744559,1147.91,10476000
Kenya,8613,0.00021507462088010243,21.51,40046566
Serbia,2576,0.0003507220776688745,35.07,7344847
Hungary,45837,0.004591965537968343,459.2,9982000
Lithuania,10870,0.0030490883590462833,304.91,3565000
Costa Rica,70820,0.015681255563280795,1568.13,4516220
France,761682,0.011760088706236,1176.01,64768389
Bermuda,2811,0.043004666105714066,4300.47,65365
Slovakia,14056,0.002576718606782768,257.67,5455000
Ireland,29736,0.00643230237531844,643.23,4622917
Argentina,79364,0.001919638491465622,191.96,41343201
Norway,138896,0.027728456923829393,2772.85,5009150
Thailand,5142,7.664388615208043e-05,7.66,67089500
Israel,59015,0.00802490078508455,802.49,7353985
Australia,276538,0.012852814732869691,1285.28,21515754
Iran,2873,3.7348891688214107e-05,3.73,76923300
Indonesia,32707,0.0001346142453406543,13.46,242968342
Cuba,30998,0.0027136479033528847,271.36,11423000
Venezuela,77139,0.0028335728591774643,283.36,27223228
Slovenia,9201,0.004584454409566517,458.45,2007000
China,645270,0.00048514936347970444,48.51,1330044000
Chile,49083,0.002930942368762507,293.09,16746491
Puerto Rico,3940,0.001005966350680891,100.6,3916632
Belgium,104596,0.010054407382485822,1005.44,10403000
Germany,1027362,0.012559091126299852,1255.91,81802257
Hong Kong,59267,0.008591056325798855,859.11,6898686
Philippines,38579,0.0003861754919613406,38.62,99900177
Spain,68378,0.0014703060766637602,147.03,46505963
Ukraine,107706,0.0023715641648741105,237.16,45415596
Netherlands,279431,0.016787683989185943,1678.77,16645000
Armenia,5181,0.0017456199460916442,174.56,2968000
Denmark,138348,0.025227571115973742,2522.76,5484000
Poland,129170,0.0033550649350649353,335.51,38500000
Finland,131561,0.025087909992372235,2508.79,5244000
Mexico,23052,0.0002049634096479421,20.5,112468855
Turkey,27145,0.00034888897017564186,34.89,77804122
United States,5114539,0.016486129001749245,1648.61,310232863
Sweden,258516,0.02705304465003951,2705.3,9555893
Belarus,40790,0.004211667527103768,421.17,9685000
Croatia,19452,0.004331329325317301,433.13,4491000
South Korea,58036,0.0011985301752626312,119.85,48422644
Mali,68694,0.004979141590597052,497.91,13796354
Switzerland,217706,0.02871731961482654,2871.73,7581000
Uruguay,11211,0.0032243313201035374,322.43,3477000
New Zealand,269113,0.06328679904907418,6328.68,4252277
Russia,205273,0.0014589202712114967,145.89,140702000
Bulgaria,31458,0.004400468051564007,440.05,7148785
Romania,64067,0.002917536724112696,291.75,21959278
Estonia,9326,0.007222906356250533,722.29,1291170
Portugal,54875,0.005140033720494567,514.0,10676000
South Africa,53082,0.0010833061224489796,108.33,49000000
Singapore,70329,0.0149602143682639,1496.02,4701069
India,219819,0.00018738172156965003,18.74,1173108018
Peru,3452,0.0001154244709842708,11.54,29907003
United Kingdom,1104374,0.01771293517543428,1771.29,62348447
Malaysia,23257,0.0008225366191838655,82.25,28274729
Austria,102195,0.012455210237659964,1245.52,8205000
Latvia,10354,0.004668234767934087,466.82,2217969
Vietnam,6257,6.985509728413608e-05,6.99,89571130
Colombia,100218,0.002267104077333002,226.71,44205293
Greece,26405,0.0024004545454545455,240.05,11000000
Sri Lanka,25982,0.0012076792821787126,120.77,21513990
Japan,926254,0.007276836779586449,727.68,127288000
Taiwan,102183,0.00446323430235118,446.32,22894384
