"repository_language","actor_attributes_location","loccnt"
"JavaScript","San Francisco, CA","148472"
"C++","Yokohama, Japan","134066"
"Ruby","San Francisco, CA","117608"
"JavaScript","London, UK","102582"
"Python","San Francisco, CA","56120"
"JavaScript","New York, NY","49346"
"JavaScript","Seattle, WA","46741"
"JavaScript","Boston, MA","45661"
"C++","Toronto, Ontario","45144"
"Ruby","Seattle, WA","44888"
"PHP","Paris, France","43242"
"JavaScript","Austin, TX","42621"
"Ruby","Chicago, IL","41231"
"Ruby","Portland, OR","40395"
"JavaScript","Chicago, IL","39524"
"Ruby","New York, NY","37730"
"Ruby","Tokyo, Japan","35966"
"Python","New York, NY","35922"
"Ruby","Austin, TX","35662"
"JavaScript","Tokyo, Japan","35251"
"JavaScript","Cambridge, MA","34819"
"Java","Los Angeles, CA","34637"
"JavaScript","Paris, France","34620"
"Ruby","London, UK","34208"
"Ruby","Boston, MA","33500"
"JavaScript","Washington, DC","33195"
"JavaScript","Portland, OR","32669"
"Objective-C","Cheboksary, Russia","32170"
"Ruby","Melbourne, Australia","31897"
"JavaScript","Berlin, Germany","31241"
"Java","San Francisco, CA","29604"
"Java","Paris, France","28887"
"Shell","Toronto, Ontario","27296"
"Python","Boston, MA","27213"
"JavaScript","Brooklyn, NY","26382"
"JavaScript","Melbourne, Australia","26288"
"JavaScript","Mountain View, CA","25539"
"Ruby","Washington, DC","25458"
"JavaScript","Los Angeles, CA","25369"
"JavaScript","Sydney, Australia","24909"
"Ruby","Berlin, Germany","24383"
"Python","Chicago, IL","23818"
"C","Tokyo, Japan","23615"
"JavaScript","Beijing, China","23294"
"Ruby","Los Angeles, CA","23197"
"Python","Paris, France","22503"
"Python","Austin, TX","22015"
"Python","Seattle, WA","21990"
"Python","London, UK","21907"
"Java","London, UK","20990"
"JavaScript","Philadelphia, PA","20744"
"Ruby","Denver, CO","20614"
"Python","Berkeley, CA","20542"
"Objective-C","San Francisco, CA","20511"
"Python","Cambridge, MA","20466"
"JavaScript","Santa Clara, CA","20338"
"PHP","London, UK","19960"
"Java","Colombo, Sri Lanka","19487"
"JavaScript","Moscow, Russia","19446"
"JavaScript","Oslo, Norway","19284"
"Ruby","Atlanta, GA","19154"
"JavaScript","Shanghai, China","18828"
"JavaScript","Stockholm, Sweden","18748"
"JavaScript","Buenos Aires, Argentina","18527"
"C","San Francisco, CA","18397"
"Python","Berlin, Germany","18380"
"Ruby","Sydney, Australia","18194"
"JavaScript","Toronto, Canada","18108"
"JavaScript","Denver, CO","17954"
"Ruby","Raleigh, NC","17598"
"Python","Mountain View, CA","17515"
"Ruby","Paris, France","17202"
"JavaScript","Hangzhou, China","17114"
"JavaScript","Brisbane, Australia","17077"
"JavaScript","Berkeley, CA","16910"
"JavaScript","Oakland, CA","16817"
"Ruby","Brooklyn, NY","16275"
"JavaScript","Taipei, Taiwan","16256"
"Python","Washington, DC","15805"
"PHP","Portland, OR","15793"
"JavaScript","Toronto, ON","15762"
"PHP","Berlin, Germany","15546"
"PHP","San Francisco, CA","15434"
"Java","Berlin, Germany","15421"
"JavaScript","Atlanta, GA","15296"
"Python","Portland, OR","15075"
"Python","Beijing, China","15058"
"Python","Los Angeles, CA","14989"
"Python","Philadelphia, PA","14874"
"Ruby","Hamburg, Germany","14409"
"Ruby","Cambridge, MA","14106"
"Shell","San Francisco, CA","14091"
"Java","Austin, TX","13840"
"JavaScript","Pittsburgh, PA","13796"
"Ruby","Pittsburgh, PA","13656"
"JavaScript","Copenhagen, Denmark","13619"
"PHP","Tampa, FL","13561"
"JavaScript","Cambridge, UK","13359"
"JavaScript","Madrid, Spain","13161"
"Ruby","Oslo, Norway","13138"
"JavaScript","Vancouver, BC","13124"
"Java","Seattle, WA","13119"
"Python","Melbourne, Australia","12841"
"C","Seattle, WA","12629"
"Ruby","San Diego, CA","12557"
"Ruby","Brisbane, Australia","12398"
"JavaScript","Boulder, CO","12281"
"JavaScript","Dallas, TX","12065"
"JavaScript","Raleigh, NC","11978"
"PHP","Boston, MA","11962"
"C","Mountain View, CA","11933"
"C","Atlanta, GA","11908"
"JavaScript","Toronto, Ontario","11839"
"Ruby","Boulder, CO","11825"
"Python","Stockholm, Sweden","11823"
"C++","Seattle, WA","11705"
"JavaScript","San Jose, CA","11663"
"JavaScript","Helsinki, Finland","11545"
"Python","San Antonio, TX","11492"
"PHP","Seattle, WA","11438"
"C","Beijing, China","11431"
"JavaScript","Palo Alto, CA","11394"
"C","London, UK","11142"
"Python","Brooklyn, NY","11093"
"C++","Los Angeles, CA","11093"
"Java","Hamburg, Germany","11070"
"Python","Raleigh, NC","11036"
"C","Paris, France","10973"
"JavaScript","San Diego, CA","10952"
"C++","San Francisco, CA","10940"
"Ruby","Buenos Aires, Argentina","10916"
"Ruby","Shanghai, China","10906"
"JavaScript","Minneapolis, MN","10903"
"JavaScript","Barcelona, Spain","10900"
"Python","Cambridge, UK","10889"
"Java","Stockholm, Sweden","10873"
"Java","Brisbane, Australia","10702"
"Java","Santa Clara, CA","10664"
"Ruby","Berkeley, CA","10663"
"Python","Rochester, NY","10612"
"Ruby","Philadelphia, PA","10586"
"Python","Pittsburgh, PA","10552"
"Ruby","Palo Alto, CA","10449"
"Java","Bangalore, India","10387"
"JavaScript","Portland, Oregon","10354"
"Java","Boston, MA","10271"
"C++","Carrboro, NC","10120"
"PHP","New York, NY","10085"
"Python","Cape Town, South Africa","9871"
"Java","Tokyo, Japan","9765"
"Java","Oslo, Norway","9706"
"Python","Moscow, Russia","9666"
"C","Stockholm, Sweden","9658"
"JavaScript","London, England","9609"
"Ruby","Portland, Oregon","9584"
"JavaScript","Ann Arbor, MI","9558"
"Java","New York, NY","9537"
"JavaScript","Munich, Germany","9512"
"JavaScript","Bangalore, India","9506"
"Python","Tokyo, Japan","9472"
"JavaScript","Madison, WI","9398"
"Ruby","Stockholm, Sweden","9343"
"C","Berlin, Germany","9310"
"JavaScript","Russia, Moscow","9290"
"JavaScript","London, United Kingdom","9152"
"Ruby","Moscow, Russia","9149"
"JavaScript","New York, New York","9118"
"JavaScript","Sunnyvale, CA","9067"
"JavaScript","San Francisco, California","9053"
"PHP","Sydney, Australia","9030"
"C++","Beijing, China","9002"
"Ruby","Santa Barbara, CA","8990"
"JavaScript","Hamburg, Germany","8960"
"C++","Cambridge, MA","8923"
"Python","Atlanta, GA","8864"
"JavaScript","Vancouver, Canada","8858"
"PHP","Copenhagen, Denmark","8784"
"Python","Salt Lake City, Utah","8775"
"C++","Tokyo, Japan","8712"
"Python","Sydney, Australia","8711"
"Python","Vancouver, BC","8691"
"JavaScript","Montreal, Canada","8605"
"Python","Oxford, UK","8597"
"Java","Chicago, IL","8565"
"PHP","Montreal, Canada","8511"
"PHP","Chicago, IL","8487"
"PHP","Kuala Lumpur, Malaysia","8476"
"Java","Linz, Austria","8453"
"Ruby","Dallas, TX","8452"
"PHP","Karlsruhe, Germany","8249"
