Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,7429,0.00022058255886457437,22.06,33679000
Lithuania,62,1.7391304347826085e-05,1.74,3565000
Cambodia,160,1.1069845188215043e-05,1.11,14453680
Argentina,742,1.794732826807484e-05,1.79,41343201
Bolivia,3,3.0158579844538553e-07,0.03,9947418
Ghana,7,2.8759435457212164e-07,0.03,24339838
Slovenia,538,0.000268061783756851,26.81,2007000
Spain,1442,3.1006776485845485e-05,3.1,46505963
Netherlands,2262,0.00013589666566536497,13.59,16645000
Jamaica,6,2.107309836360367e-06,0.21,2847232
New Zealand,4514,0.001061548906621088,106.15,4252277
Pakistan,317,1.719044273638205e-06,0.17,184404791
United Arab Emirates,19,3.818640310813203e-06,0.38,4975593
India,1359,1.1584610957795022e-06,0.12,1173108018
Azerbaijan,1,1.204309694500351e-07,0.01,8303512
Madagascar,5,2.3494204731507288e-07,0.02,21281844
South Korea,2288,4.725062101111207e-05,4.73,48422644
Macao,10,2.2261897871317327e-05,2.23,449198
Turkey,508,6.529217050993776e-06,0.65,77804122
Czech Republic,1409,0.0001344978999618175,13.45,10476000
France,5290,8.167564581543011e-05,8.17,64768389
Bermuda,212,0.003243325938958158,324.33,65365
Slovakia,247,4.5279560036663614e-05,4.53,5455000
Peru,47,1.571538278175182e-06,0.16,29907003
Norway,1086,0.0002168032500524041,21.68,5009150
Cuba,1311,0.00011476844961918936,11.48,11423000
China,11446,8.60573033674074e-06,0.86,1330044000
Armenia,1,3.3692722371967654e-07,0.03,2968000
Dominican Republic,3,3.0538015706923e-07,0.03,9823821
Ukraine,3584,7.891562184937527e-05,7.89,45415596
Finland,749,0.00014282990083905415,14.28,5244000
Indonesia,101,4.1569201636977053e-07,0.04,242968342
Mauritius,8,6.181883372588293e-06,0.62,1294104
Sweden,3313,0.0003466970590817624,34.67,9555893
Belarus,1189,0.00012276716572018586,12.28,9685000
Russia,35781,0.00025430342141547385,25.43,140702000
Bulgaria,345,4.825994906826824e-05,4.83,7148785
United States,154823,0.000499054157263797,49.91,310232863
Romania,876,3.9892021950812773e-05,3.99,21959278
Portugal,1633,0.00015295991007868115,15.3,10676000
South Africa,383,7.816326530612244e-06,0.78,49000000
Cyprus,5,4.534419417472206e-06,0.45,1102677
Malaysia,542,1.9169060824597118e-05,1.92,28274729
Austria,5663,0.0006901889092017063,69.02,8205000
Vietnam,234,2.6124488995505585e-06,0.26,89571130
Hungary,321,3.215788419154478e-05,3.22,9982000
Brazil,596,2.9636505770441493e-06,0.3,201103330
Pitcairn,20,0.43478260869565216,43478.26,46
Costa Rica,1327,0.0002938297957141149,29.38,4516220
Ireland,21,4.542586423247486e-06,0.45,4622917
Ecuador,56,3.7861864772563776e-06,0.38,14790608
Bangladesh,181,1.1593759979601133e-06,0.12,156118464
Brunei,46,0.00011644773648383528,11.64,395027
Australia,3089,0.00014356921909406474,14.36,21515754
Iran,56,7.279978888061224e-07,0.07,76923300
Chile,931,5.559373602505743e-05,5.56,16746491
Puerto Rico,9,2.2978926792203097e-06,0.23,3916632
Belgium,1253,0.00012044602518504278,12.04,10403000
Thailand,532,7.929705840705327e-06,0.79,67089500
Hong Kong,46,6.667936473699484e-06,0.67,6898686
Sierra Leone,1,1.906325091336801e-07,0.02,5245695
Georgia,188,4.060475161987041e-05,4.06,4630000
Denmark,934,0.00017031363967906637,17.03,5484000
Poland,1401,3.638961038961039e-05,3.64,38500000
Moldova,140,3.2377428307123036e-05,3.24,4324000
Croatia,467,0.00010398574927633044,10.4,4491000
Switzerland,1151,0.00015182693576045378,15.18,7581000
Isle of Man,6,7.994776745859372e-05,7.99,75049
Estonia,242,0.00018742690737857912,18.74,1291170
Uruguay,27,7.765314926660915e-06,0.78,3477000
Lebanon,286,6.932918198595139e-05,6.93,4125247
Colombia,741,1.6762698530241614e-05,1.68,44205293
Taiwan,2014,8.796917182834009e-05,8.8,22894384
Nicaragua,7,1.167458982162561e-06,0.12,5995928
Qatar,32,3.80532888744075e-05,3.81,840926
Italy,1720,2.850498260466864e-05,2.85,60340328
Nepal,12,4.1448125667401174e-07,0.04,28951852
Malta,4,9.925558312655088e-06,0.99,403000
Venezuela,255,9.367000856768344e-06,0.94,27223228
Israel,418,5.6839931003394755e-05,5.68,7353985
Iceland,601,0.0019455504839597294,194.56,308910
Germany,12738,0.00015571697489960454,15.57,81802257
Kazakhstan,45,2.9335071707953063e-06,0.29,15340000
Philippines,4673,4.677669389915095e-05,4.68,99900177
Kyrgyzstan,93,1.6882612833036767e-05,1.69,5508626
Macedonia,17,8.248423095584668e-06,0.82,2061000
Latvia,324,0.00014607958902942286,14.61,2217969
Japan,7711,6.057915907233989e-05,6.06,127288000
Syria,1,4.5048880287556016e-08,0.0,22198110
Honduras,3,3.7549682924219105e-07,0.04,7989415
Myanmar,1,1.8721552367158696e-08,0.0,53414374
Mexico,201,1.7871614323805466e-06,0.18,112468855
Egypt,67,8.325890877469243e-07,0.08,80471869
Singapore,12,2.552610906157727e-06,0.26,4701069
Serbia,489,6.657728881214272e-05,6.66,7344847
United Kingdom,12896,0.00020683754961851736,20.68,62348447
Greece,194,1.7636363636363637e-05,1.76,11000000
