Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Canada,39594,0.0011756287300691826,117.56,33679000
East Timor,12,1.039298473530367e-05,1.04,1154625
Sao Tome and Principe,145,0.0008247633782307972,82.48,175808
Lithuania,813,0.00022805049088359046,22.81,3565000
Cambodia,100,6.918653242634401e-06,0.69,14453680
Swaziland,165,0.00012185656227128816,12.19,1354051
Argentina,1624,3.928094488861663e-05,3.93,41343201
Bolivia,67,6.7354161652802764e-06,0.67,9947418
Ghana,16,6.57358524736278e-07,0.07,24339838
Saudi Arabia,22,8.549740212257405e-07,0.09,25731776
Slovenia,888,0.00044245142002989537,44.25,2007000
Guatemala,3,2.2139502481100245e-07,0.02,13550440
Bosnia and Herzegovina,1208,0.00026318082788671026,26.32,4590000
Jordan,14,2.1850810469971913e-06,0.22,6407085
Spain,1739,3.73930543057457e-05,3.74,46505963
Liberia,26,7.055485422824387e-06,0.71,3685076
Netherlands,7797,0.0004684289576449384,46.84,16645000
Pakistan,84,4.555196182511332e-07,0.05,184404791
Oman,1,3.369593529302154e-07,0.03,2967717
Tanzania,15,3.5805594242174e-07,0.04,41892895
New Zealand,6558,0.0015422325497609869,154.22,4252277
Jersey,14,0.00015416464784389727,15.42,90812
Jamaica,75,2.6341372954504584e-05,2.63,2847232
United Arab Emirates,66,1.3264750553351127e-05,1.33,4975593
Kosovo,8,4.444444444444444e-06,0.44,1800000
India,3470,2.957954379952077e-06,0.3,1173108018
Azerbaijan,40,4.8172387780014045e-06,0.48,8303512
Kenya,392,9.788604595959614e-06,0.98,40046566
South Korea,1601,3.3063043810660156e-05,3.31,48422644
Turkey,581,7.46747068233737e-06,0.75,77804122
Czech Republic,4985,0.0004758495609011073,47.58,10476000
France,16542,0.00025540236920205007,25.54,64768389
Bermuda,335,0.005125066931844259,512.51,65365
Slovakia,1217,0.0002230980751604033,22.31,5455000
Somalia,16,1.5822076008659818e-06,0.16,10112453
Peru,10,3.3436984642025145e-07,0.03,29907003
Norway,3955,0.0007895551141411217,78.96,5009150
Malawi,5,3.2367697038355724e-07,0.03,15447500
Cuba,524,4.5872362776853714e-05,4.59,11423000
China,13303,1.000192474835419e-05,1.0,1330044000
Armenia,5,1.6846361185983827e-06,0.17,2968000
Dominican Republic,9,9.1614047120769e-07,0.09,9823821
Ukraine,5106,0.00011242833849411555,11.24,45415596
Finland,3190,0.0006083142639206712,60.83,5244000
Indonesia,563,2.317174309071097e-06,0.23,242968342
United States,202617,0.000653112626562712,65.31,310232863
Sweden,6254,0.0006544652603372599,65.45,9555893
Belarus,1553,0.00016035105833763551,16.04,9685000
Russia,5797,4.120055152023425e-05,4.12,140702000
Bulgaria,3418,0.00047812320555171264,47.81,7148785
Romania,2582,0.00011758127931164221,11.76,21959278
Portugal,2016,0.00018883476957662045,18.88,10676000
South Africa,1354,2.763265306122449e-05,2.76,49000000
Nicaragua,139,2.318239978865657e-05,2.32,5995928
Liechtenstein,2,5.714285714285714e-05,5.71,35000
Qatar,6,7.134991663951406e-06,0.71,840926
Malaysia,582,2.058375166036074e-05,2.06,28274729
Austria,2146,0.0002615478366849482,26.15,8205000
Vietnam,665,7.424267171799663e-06,0.74,89571130
Uganda,28,8.383564357419852e-07,0.08,33398682
Hungary,1441,0.00014435984772590663,14.44,9982000
Sint Maarten,7,0.0001870207593042828,18.7,37429
Brazil,3405,1.6931594320193503e-05,1.69,201103330
Costa Rica,1593,0.00035272860932372647,35.27,4516220
Luxembourg,3,6.0296901945178055e-06,0.6,497538
Ireland,323,6.986930546233039e-05,6.99,4622917
Nigeria,40,2.5974025974025974e-07,0.03,154000000
Ecuador,71,4.800343569378622e-06,0.48,14790608
Bangladesh,168,1.0761058986591106e-06,0.11,156118464
Brunei,13,3.2909142919344754e-05,3.29,395027
Australia,9886,0.000459477274187091,45.95,21515754
Iran,89,1.1569966447097304e-06,0.12,76923300
Algeria,10,2.891327936033649e-07,0.03,34586184
Chile,3726,0.00022249437210458,22.25,16746491
Puerto Rico,4,1.0212856352090265e-06,0.1,3916632
Belgium,1942,0.0001866769201191964,18.67,10403000
Thailand,612,9.122142809232444e-06,0.91,67089500
Belize,126,0.0004006079066011281,40.06,314522
Hong Kong,105,1.5220289776922736e-05,1.52,6898686
Georgia,175,3.779697624190065e-05,3.78,4630000
Denmark,2356,0.0004296134208606856,42.96,5484000
Philippines,1387,1.388385928485392e-05,1.39,99900177
Moldova,283,6.544865864939871e-05,6.54,4324000
Morocco,1,3.161812588744175e-08,0.0,31627428
Croatia,1557,0.0003466933867735471,34.67,4491000
Switzerland,5633,0.0007430418150639757,74.3,7581000
Estonia,385,0.00029817917082955767,29.82,1291170
Uruguay,480,0.0001380500431406385,13.81,3477000
Uzbekistan,5,1.7943181695026343e-07,0.02,27865738
Tunisia,13,1.2276862128477363e-06,0.12,10589025
Rwanda,11,9.949370367663606e-07,0.1,11055976
Colombia,1723,3.8977232884758844e-05,3.9,44205293
Taiwan,2810,0.00012273752375254997,12.27,22894384
Cyprus,68,6.1668104077622e-05,6.17,1102677
Madagascar,26,1.221698646038379e-06,0.12,21281844
Italy,3513,5.8219769703605193e-05,5.82,60340328
Nepal,9,3.108609425055088e-07,0.03,28951852
Malta,9,2.2332506203473946e-05,2.23,403000
Venezuela,2165,7.952767394079792e-05,7.95,27223228
Israel,501,6.812632878636549e-05,6.81,7353985
Iceland,186,0.0006021171214916966,60.21,308910
Senegal,2,1.6229482282761077e-07,0.02,12323252
Zimbabwe,1,8.582322235646881e-08,0.01,11651858
Germany,25270,0.0003089156818741566,30.89,81802257
Kazakhstan,48,3.1290743155149934e-06,0.31,15340000
Poland,5018,0.00013033766233766235,13.03,38500000
Kyrgyzstan,19,3.449135955136544e-06,0.34,5508626
Macedonia,42,2.0378457059679767e-05,2.04,2061000
Latvia,369,0.00016636842083906492,16.64,2217969
Japan,12677,9.95930488341399e-05,9.96,127288000
Syria,6,2.702932817253361e-07,0.03,22198110
Guadeloupe,30,6.772009029345373e-05,6.77,443000
Honduras,64,8.01059902383341e-06,0.8,7989415
Mexico,598,5.317027545092373e-06,0.53,112468855
Egypt,63,7.828822765381528e-07,0.08,80471869
Singapore,22,4.679786661289166e-06,0.47,4701069
Serbia,203,2.7638424598905872e-05,2.76,7344847
United Kingdom,22542,0.0003615487006436584,36.15,62348447
Greece,2052,0.00018654545454545454,18.65,11000000
Sri Lanka,79,3.6720292237748555e-06,0.37,21513990
Botswana,27,1.3305034674398698e-05,1.33,2029307
