"actor","repository_language","pushes"
"jimfoltz","Ruby","76"
"pelo8888","Logos","100"
"this88mild7","JavaScript","339"
"jjanvier","PHP","198"
"xi4oh4o","JavaScript","146"
"relic7","Python","767"
"GlenDC","C","134"
"ggoral","PHP","131"
"DHOMD","Shell","266"
"yasuhito","Ruby","582"
"twiecki","Python","169"
"vito","Go","294"
"kajiwara3","Ruby","200"
"ex3ndr","Java","74"
"mithranor","PHP","609"
"agentzh","Perl","1202"
"burrows-labs","Common Lisp","171"
"mcasperson","JavaScript","2320"
"shivshankardayal","JavaScript","328"
"haneefmubarak","C","95"
"callen6","Ruby","236"
"cnranasinghe","C#","65"
"lexoyo","JavaScript","124"
"Dokotela","JavaScript","227"
"caitp","JavaScript","370"
"Mokon","Shell","134"
"momoplan","JavaScript","247"
"h2so5","C++","178"
"propensive","Scala","169"
"gbateson","PHP","410"
"wofockham","Ruby","299"
"spurious","C","1090"
"berenm","C","259"
"ArchZombie","JavaScript","513"
"benkeen","PHP","325"
"dhagan","JavaScript","61"
"ronaldpatino","PHP","304"
"jsturdevant","PHP","102"
"nsheils","CSS","93"
"li-tianyang","Ruby","102"
"Padam87","PHP","147"
"FabianodeLimaAbreu","JavaScript","77"
"pikipity","JavaScript","219"
"mikeNG","Python","148"
"DaiSatoJ","C++","67"
"dongpu","C++","234"
"JonaCorallo","C#","136"
"koshihikari","PHP","142"
"shelmesky","CSS","153"
"yobbobanana","C++","212"
"iseki-masaya","C++","152"
"bigonese","PHP","94"
"letusfly85","Scala","266"
"unkedeuxke","Java","66"
"derand","Python","1032"
"BrianTheCoder","Ruby","65"
"antme","JavaScript","1518"
"eigenein","Python","516"
"rhalff","JavaScript","879"
"ryan-endacott","JavaScript","146"
"thdDude","Java","330"
"sfackler","Rust","394"
"nxi","Java","159"
"bashet","PHP","1451"
"zdne","C++","277"
"pydanny","JavaScript","243"
"Neonunux","Java","141"
"cesarsousa","Java","398"
"crodas","PHP","531"
"myappleguy","Ruby","176"
"dgoulet","C","413"
"cmhughes","Perl","118"
"adamdaigian","Ruby","116"
"princessofpersia","Java","64"
"Grinch","Java","558"
"samreid","JavaScript","2640"
"VineetReynolds","JavaScript","346"
"alexcrichton","Rust","1210"
"IcyDefiance","C#","95"
"worr","C","343"
"jwj0831","PHP","84"
"walane","Java","86"
"robinwang08","PHP","551"
"kelydvv","C","1854"
"hi11218","JavaScript","275"
"hakt0r","CoffeeScript","118"
"willysr","Shell","546"
"ajbarry3","JavaScript","74"
"gnachman","Objective-C","367"
"xandayn","Java","130"
"kevinthompson","JavaScript","67"
"Ruixuan","Java","257"
"jephmann","PHP","77"
"leostera","JavaScript","3055"
"sichan77","CSS","96"
"enspencer","Ruby","150"
"STRd6","CoffeeScript","2358"
"sheg","Ruby","79"
"bcrist","C++","182"
"entoo","Shell","6739"
"davesteele","Python","127"
"DarkGuardsman","Java","1491"
"kostajh","PHP","219"
"c10ud","C","235"
"SkyApple","C#","84"
"h0pbeat","JavaScript","537"
"humphd","JavaScript","454"
"lalezaris","Java","65"
"petergeoghegan","C","222"
"jr0senblum","Erlang","79"
"asjchae","JavaScript","245"
"thejameskyle","CoffeeScript","241"
"rickygi","CSS","117"
"bcrowe","CSS","123"
"gyuholee","Go","1048"
"kamalgill","JavaScript","235"
"cphelps76","C++","250"
"micha","JavaScript","339"
"camcory","Java","336"
"lukeis","Shell","47919"
"flexdigit","Shell","9469"
"matthewbaggett","PHP","828"
"lzheng-arcie","CSS","64"
"andrewsmhay","Ruby","380"
"khaing211","Groovy","176"
"aelkner","Python","106"
"RobertCNelson","C","705"
"beacoder","Emacs Lisp","162"
"Jell","Emacs Lisp","234"
"luqmana","Rust","364"
"LeamHall","PHP","105"
"Nejuf","Ruby","78"
"Bekt","Java","119"
"bdbcat","C++","103"
"christian-marie","Ruby","98"
"jior","Java","926"
"dwi2","JavaScript","211"
"neomonkeus","Python","200"
"paulgibbs","PHP","833"
"fwitzke","JavaScript","106"
"heuermh","Java","232"
"basestyle","CSS","65"
"paolociccarese","Groovy","129"
"Nimdis","Ruby","129"
"LegendRhine","C++","145"
"lynnaloo","JavaScript","797"
"MishimaHaruna","C","298"
"apuyou","PHP","298"
"joh641","Ruby","185"
"Gaurav0","JavaScript","98"
"mmckelvy","JavaScript","64"
"mathias","Ruby","78"
"jeffreyvarner","Objective-C","97"
"waveletus","C++","101"
"cshubert","JavaScript","220"
"kacole2","Ruby","284"
"lithium","JavaScript","74"
"JoeyBanks23","CSS","61"
"lbybee","Python","685"
"ffunch","JavaScript","92"
"rodrigopmatias","Python","93"
"minego","JavaScript","375"
"tonylampada","Python","368"
"kongphp","JavaScript","384"
"lidavidm","JavaScript","134"
"zachferland","Ruby","94"
"ryanwilsonperkin","CSS","137"
"bflad","Ruby","398"
"brenna","JavaScript","91"
"qiangxue","PHP","1761"
"ekmett","Haskell","2723"
"Osmose","Python","703"
"stevenbenner","JavaScript","259"
"ghoneycutt","Ruby","132"
"jensenr30","Objective-C","181"
"ChrisGF","Ruby","564"
"sabberworm","CSS","96"
"cogent-buildbox","Ruby","6703"
"jzaleski","Ruby","314"
"mhogomchungu","TypeScript","236"
"elgalu","Ruby","170"
"krakissi","C","122"
"hugo-chavar","Java","86"
"tymoszczuk","Java","69"
"flaccid","Ruby","354"
"vtjnash","Julia","476"
"sennychu","Ruby","553"
"dmcb","PHP","105"
"adamjacobbecker","Ruby","1060"
"fatterlinux","C++","102"
"rossabaker","Scala","330"
"cato-","Python","33149"
"j-walker23","JavaScript","198"
"sizzlemctwizzle","JavaScript","113"
"bigeasy","JavaScript","2292"
"matiasdelellis","C","604"
"christianmbrodbeck","Python","756"
"ShingoFukuyama","Emacs Lisp","84"
"temasek","Shell","271"
"JohannesBuchner","Python","69"
"keera","JavaScript","297"
"apdastous","Python","64"
"shallem","JavaScript","171"
"JonathanBauer","C#","63"
"rivera-ernesto","Objective-C","309"
"carsonmcdonald","C","189"
"kowcop-aosp","Java","118"
"dargad","C","115"
"johnbellone","Ruby","152"
"gregrluck","Java","201"
"dnahodil","JavaScript","341"
"davidpots","Ruby","451"
"Nogal","Shell","108"
"kaznum","JavaScript","72"
"toctan","Ruby","170"
"cwebber","Python","163"
"jleveringDBC","Ruby","65"
"4wheelwarrior","JavaScript","158"
"ankurgandhe","Java","80"
"caglar10ur","Go","141"
"skycocker","Ruby","177"
"rimms","Python","72"
"pschmitt","PHP","105"
"synthresin","Ruby","326"
"value123","Java","71"
"gavinandresen","TypeScript","298"
"ChrisWren","JavaScript","1343"
"stellanl","Python","79"
"bensonwei","JavaScript","82"
"kayrobbins","Groovy","61"
"nehifish","JavaScript","90"
"harrysboileau","Ruby","67"
"djtaylor","PHP","1416"
"wasade","Python","219"
"khaing211","Java","98"
"jacquev6","Python","305"
"lac-repository","CSS","1873"
"kopf","JavaScript","6374"
"armynante","Ruby","106"
"mrocklin","Python","1060"
"beatrizrezener","PHP","184"
"pdf","Ruby","109"
"nylira","CSS","474"
"ihavenoface","JavaScript","635"
"sasagajic","Ruby","74"
"clintoncwolfe","Ruby","96"
"poulson","C++","491"
"andrewaliu","JavaScript","177"
"simondai13","Java","61"
"shinyquagsire23","Java","134"
"danielrobbins","Shell","2540"
"AramZS","PHP","422"
"daino3","Ruby","168"
"sawjlab","C++","126"
"jasnow","Ruby","1089"
"lukemonaghan","C#","106"
"alimoeeny","Go","63"
"huntc","Scala","451"
"alejveloz","Java","115"
"kai8406","Java","380"
"turnps","CSS","61"
"kanoi","C","735"
"ben-ng","JavaScript","697"
"jdalton","JavaScript","1295"
"daboross","Java","1499"
"jeroenooms","CSS","269"
"KaosDroid","Shell","717"
"xkings","Java","378"
"reinpk","Objective-C","181"
"ExperienceOrb","Java","61"
"gregplaysguitar","Python","92"
"mahmoud","Python","507"
"yangchenhui","Java","154"
"DHOMD","C++","155"
"giovannimc","VimL","62"
"drstearns","JavaScript","357"
"kevin-montrose","C#","224"
"andreedgsBR","Java","63"
"trobertson","Haskell","223"
"Victor-arias","JavaScript","233"
"dwkimm01","C++","272"
"erichwelz","Ruby","95"
"ganltc","C","5675"
