"actor","repository_language","pushes"
"mdarby","CoffeeScript","37"
"cscottmills","CoffeeScript","73"
"jgoldbeck","CoffeeScript","10"
"nathandinsmore","CoffeeScript","96"
"AlexeyMK","CoffeeScript","27"
"juliobetta","CoffeeScript","10"
"dhm116","CoffeeScript","51"
"denysonique","CoffeeScript","16"
"ANTON072","CoffeeScript","85"
"ShayDavidson","CoffeeScript","32"
"sasaplus1","CoffeeScript","29"
"pyp","CoffeeScript","40"
"vogievetsky","CoffeeScript","27"
"gemfarmer","CoffeeScript","66"
"mattparrish","CoffeeScript","50"
"zacharyliu","CoffeeScript","39"
"TheUnknownOne","CoffeeScript","21"
"Polytonic","CoffeeScript","13"
"kingbin","CoffeeScript","26"
"chaserx","CoffeeScript","10"
"ZAQAZA","CoffeeScript","89"
"knowitnothing","CoffeeScript","17"
"scoarescoare","CoffeeScript","126"
"kmalakoff","CoffeeScript","105"
"patrickleet","CoffeeScript","40"
"sumanyu","CoffeeScript","28"
"cshier","CoffeeScript","82"
"rashfael","CoffeeScript","43"
"jdubie","CoffeeScript","42"
"locksmithdon","CoffeeScript","12"
"davidgtonge","CoffeeScript","36"
"samccone","CoffeeScript","171"
"bwiklund","CoffeeScript","102"
"tofumatt","CoffeeScript","67"
"MayhemYDG","CoffeeScript","834"
"paprikka","CoffeeScript","12"
"logankoester","CoffeeScript","68"
"b-ash","CoffeeScript","116"
"mikeumus","CoffeeScript","299"
"phatograph","CoffeeScript","44"
"kelp404","CoffeeScript","202"
"nakosung","CoffeeScript","41"
"poupotte","CoffeeScript","336"
"nathanboktae","CoffeeScript","24"
"mattinsler","CoffeeScript","301"
"huip","CoffeeScript","31"
"danielgtaylor","CoffeeScript","262"
"MichalB","CoffeeScript","337"
"jsyang","CoffeeScript","35"
"deciob","CoffeeScript","218"
"jamesmoriarty","CoffeeScript","188"
"kbroman","CoffeeScript","227"
"Isquariel","CoffeeScript","35"
"alexkalderimis","CoffeeScript","347"
"mitar","CoffeeScript","431"
"Aratramba","CoffeeScript","99"
"jtangelder","CoffeeScript","58"
"epeli","CoffeeScript","133"
"thaibault","CoffeeScript","929"
"nkhine","CoffeeScript","74"
"ihavenoface","CoffeeScript","24"
"meritt","CoffeeScript","65"
"th3james","CoffeeScript","541"
"Lupino","CoffeeScript","35"
"Cheguevara","CoffeeScript","56"
"dmitriy-kiriyenko","CoffeeScript","109"
"crcn","CoffeeScript","726"
"nomilous","CoffeeScript","3243"
"vancarney","CoffeeScript","42"
"ustasb","CoffeeScript","64"
"ts33kr","CoffeeScript","1365"
"Hoverbear","CoffeeScript","392"
"h2non","CoffeeScript","201"
"BlakeMesdag","CoffeeScript","37"
"pjaspers","CoffeeScript","29"
"a-ignatov-parc","CoffeeScript","70"
"drogus","CoffeeScript","375"
"hajipion","CoffeeScript","58"
"zaidka","CoffeeScript","63"
"iapain","CoffeeScript","21"
"mpneuried","CoffeeScript","149"
"SergeStinckwich","CoffeeScript","140"
"chrisabrams","CoffeeScript","151"
"geigerzaehler","CoffeeScript","40"
"severusweb","CoffeeScript","20"
"trabianmatt","CoffeeScript","225"
"mathieumast","CoffeeScript","26"
"namuol","CoffeeScript","110"
"martent","CoffeeScript","73"
"leptonix","CoffeeScript","578"
"charltoons","CoffeeScript","17"
"dak","CoffeeScript","117"
"stuartf","CoffeeScript","16"
"elliotfleming","CoffeeScript","24"
"aglover","CoffeeScript","71"
"jed","CoffeeScript","11"
"uhyo","CoffeeScript","103"
"arboleya","CoffeeScript","238"
"zhangxiao","CoffeeScript","36"
"jiyinyiyong","CoffeeScript","241"
"krava","CoffeeScript","106"
"paddymul","CoffeeScript","175"
"nuc-gr","CoffeeScript","11"
"spion","CoffeeScript","25"
"lcaballero","CoffeeScript","29"
"pads","CoffeeScript","52"
"suprMax","CoffeeScript","121"
"jaketrent","CoffeeScript","75"
"timaschew","CoffeeScript","73"
"kossnocorp","CoffeeScript","62"
"takitapart","CoffeeScript","12"
"andrew","CoffeeScript","71"
"makeusabrew","CoffeeScript","149"
"kevinsawicki","CoffeeScript","513"
"jondavidjohn","CoffeeScript","127"
"6","CoffeeScript","84"
"nkallen","CoffeeScript","101"
"foxbunny","CoffeeScript","162"
"ecordell","CoffeeScript","22"
"louismrose","CoffeeScript","32"
"nickjs","CoffeeScript","126"
"mmcguinn","CoffeeScript","621"
"ttfnrob","CoffeeScript","20"
"aularon","CoffeeScript","14"
"gberger42","CoffeeScript","111"
"rodriguezartav","CoffeeScript","33"
"alinex","CoffeeScript","13"
"williamcoates","CoffeeScript","15"
"amcgowanca","CoffeeScript","22"
"philschatz","CoffeeScript","667"
"astronz","CoffeeScript","21"
"frankrousseau","CoffeeScript","477"
"markevans","CoffeeScript","68"
"jhihn","CoffeeScript","23"
"Paulloz","CoffeeScript","328"
"mandeeps","CoffeeScript","28"
"smdern","CoffeeScript","14"
"nicolaskruchten","CoffeeScript","126"
"ckm2k1","CoffeeScript","33"
"jrclippers10","CoffeeScript","35"
"marchaefner","CoffeeScript","28"
"luggage66","CoffeeScript","40"
"bryanchriswhite","CoffeeScript","56"
"davidmerrique","CoffeeScript","22"
"spikebrehm","CoffeeScript","196"
"kshen0","CoffeeScript","26"
"spadin","CoffeeScript","27"
"daliwali","CoffeeScript","176"
"bugcloud","CoffeeScript","320"
"naoya","CoffeeScript","12"
"bitmage","CoffeeScript","195"
"missinglink","CoffeeScript","159"
"aheuermann","CoffeeScript","88"
"mgeraci","CoffeeScript","48"
"jmafc","CoffeeScript","39"
"dhigginbotham","CoffeeScript","421"
"WolfWings","CoffeeScript","46"
"spro","CoffeeScript","72"
"amasad","CoffeeScript","47"
"lhagan","CoffeeScript","20"
