days,repository_language,lang_count
9/15/2013,wisp,1
10/14/2013,wisp,1
11/12/2013,wisp,1
11/10/2013,wisp,3
9/17/2013,wisp,2
8/20/2013,wisp,1
7/29/2013,wisp,2
11/16/2013,wisp,2
8/18/2013,wisp,3
8/17/2013,wisp,2
11/7/2013,wisp,2
7/30/2013,wisp,3
8/22/2013,wisp,5
8/1/2013,wisp,2
6/21/2013,wisp,4
7/28/2013,wisp,1
11/13/2013,wisp,1
11/17/2013,wisp,3
8/2/2013,wisp,8
11/8/2013,wisp,1
11/25/2012,ooc,15
3/3/2013,ooc,20
5/5/2013,ooc,7
2/8/2013,ooc,12
10/29/2013,ooc,4
10/12/2013,ooc,1
5/2/2012,ooc,9
3/31/2013,ooc,21
6/8/2012,ooc,45
2/26/2013,ooc,17
3/11/2013,ooc,11
3/6/2013,ooc,27
12/14/2012,ooc,18
11/3/2013,ooc,1
10/20/2013,ooc,2
2/22/2013,ooc,1
3/2/2013,ooc,13
1/20/2013,ooc,1
12/13/2012,ooc,12
3/14/2013,ooc,30
12/15/2012,ooc,36
2/19/2013,ooc,4
8/27/2012,ooc,72
2/10/2013,ooc,12
11/1/2012,ooc,5
5/28/2013,ooc,3
10/31/2012,ooc,6
2/12/2013,ooc,1
1/23/2013,ooc,3
8/23/2013,ooc,2
3/25/2013,ooc,7
4/29/2012,ooc,9
11/30/2012,ooc,1
8/28/2012,ooc,44
3/17/2013,ooc,16
12/22/2012,ooc,7
11/17/2012,ooc,1
7/3/2012,ooc,2
7/26/2013,ooc,12
5/7/2012,ooc,6
11/24/2012,ooc,18
5/22/2013,ooc,1
5/4/2013,ooc,10
5/1/2013,ooc,3
8/4/2013,ooc,1
3/7/2013,ooc,9
5/10/2013,ooc,8
4/17/2013,ooc,11
3/27/2013,ooc,19
2/4/2013,ooc,1
11/14/2012,ooc,6
3/24/2013,ooc,10
4/4/2013,ooc,1
2/21/2013,ooc,12
6/1/2012,ooc,3
2/11/2013,ooc,6
3/1/2013,ooc,6
3/21/2013,ooc,2
2/9/2013,ooc,5
3/18/2013,ooc,9
8/24/2013,ooc,3
3/10/2013,ooc,4
8/29/2012,ooc,20
8/31/2012,ooc,6
8/24/2012,ooc,20
3/9/2013,ooc,11
6/22/2012,ooc,2
2/3/2013,ooc,10
10/25/2013,ooc,1
2/1/2013,ooc,16
6/2/2013,ooc,8
4/5/2013,ooc,2
10/9/2013,ooc,2
1/21/2013,ooc,1
2/23/2013,ooc,2
4/29/2013,ooc,3
1/19/2013,ooc,2
3/12/2013,ooc,2
11/23/2012,ooc,5
2/27/2013,ooc,12
5/3/2013,ooc,4
3/28/2013,ooc,11
4/3/2013,ooc,11
11/4/2012,ooc,3
1/25/2013,ooc,8
8/26/2012,ooc,120
8/25/2013,ooc,23
11/5/2012,ooc,4
6/24/2012,ooc,4
12/3/2012,ooc,3
5/29/2012,ooc,15
5/26/2013,ooc,1
7/19/2013,ooc,3
6/28/2013,ooc,4
2/14/2013,ooc,3
2/17/2013,ooc,1
1/27/2013,ooc,8
11/13/2013,ooc,2
1/16/2013,ooc,10
3/29/2013,ooc,9
8/9/2012,ooc,2
1/29/2013,ooc,2
7/27/2013,ooc,6
8/23/2012,ooc,52
10/11/2013,ooc,3
12/11/2012,ooc,4
5/6/2012,ooc,33
7/30/2013,ooc,17
3/26/2013,ooc,4
8/28/2013,ooc,3
10/23/2013,ooc,3
5/12/2012,ooc,30
3/19/2013,ooc,9
6/25/2012,ooc,16
6/20/2012,ooc,10
5/8/2012,ooc,21
1/11/2013,ooc,1
1/13/2013,ooc,2
7/4/2012,ooc,6
1/28/2013,ooc,7
2/16/2013,ooc,1
4/2/2013,ooc,16
10/27/2013,ooc,7
3/20/2013,ooc,10
3/8/2013,ooc,11
4/21/2012,ooc,72
10/28/2013,ooc,2
3/5/2013,ooc,29
12/30/2012,ooc,2
5/24/2013,ooc,17
5/23/2013,ooc,4
1/18/2013,ooc,1
4/30/2012,ooc,6
5/13/2012,ooc,15
8/22/2012,ooc,40
5/3/2012,ooc,6
2/6/2013,ooc,3
4/13/2013,ooc,3
5/18/2013,ooc,3
10/22/2013,ooc,10
6/15/2012,ooc,14
1/3/2013,ooc,1
7/3/2013,ooc,1
11/15/2012,ooc,2
12/28/2012,ooc,1
11/5/2013,ooc,2
11/4/2013,ooc,2
6/17/2012,ooc,6
5/10/2012,ooc,6
7/31/2013,ooc,10
2/18/2013,ooc,1
12/7/2012,ooc,16
12/29/2012,ooc,1
1/10/2013,ooc,3
8/5/2013,ooc,8
1/17/2013,ooc,12
7/20/2013,ooc,1
8/1/2013,ooc,4
4/14/2013,ooc,2
12/18/2012,ooc,30
8/11/2013,ooc,2
3/13/2013,ooc,23
5/11/2013,ooc,7
8/14/2013,ooc,2
