word,count,language
knock,12,Ruby
insignificant,16,Ruby
freeze.py,11,Python
likers/haters,13,JavaScript
unimportant,13,Objective-C
elimination,11,JavaScript
froze,15,Ruby
hard-wire,13,JavaScript
troubled,27,Python
src/ricardodantas/php-error-class/phperrorclass.php,47,PHP
enabled\disabled,21,Shell
sketchy,15,Java
gutter,11,C++
flirt,17,Ruby
bug,87156,C++
bash,996,Java
fuck,1350,C
missed,1592,PHP
revert,30172,C
mistakenly,20,Java
bug,34101,Python
split,4484,Python
broken,982,JavaScript
bumping,1297,Java
revert,28732,JavaScript
ignore,4360,C
split,949,Shell
bug,3998,Objective-C
issue,11367,Java
revert,34983,Java
bug,61046,JavaScript
junk,142,JavaScript
bug,26787,Java
split,302,Objective-C
static,2054,JavaScript
ignore,10951,Java
missed,1652,Python
hack,1300,C
error,3524,PHP
revert,5194,C#
deprecate,57,Shell
sorry,177,PHP
bump,34940,JavaScript
split,3227,Java
errors,290,Python
drag,279,Java
revert,15377,Python
disable,7361,JavaScript
restrict,1783,Ruby
ignore,12838,JavaScript
bug,22691,PHP
delay,288,Java
messed,194,Python
revert,18649,C++
slowly,150,Java
revert,18463,Ruby
ignore,1841,C#
bump,56550,Ruby
disregard,40,Java
lazy,33,Objective-C
split,2403,C
ignore,6620,PHP
disabled,1275,C++
collapse,344,JavaScript
splitting,637,JavaScript
miscellaneous,42,C#
bump,9221,Java
weaken,13,C
error,2605,Python
fail,527,Ruby
issue,8345,PHP
shit,65,C#
bump,19472,Python
disable,4647,Python
bumped,5418,Python
annoying,53,Java
problem,1551,Java
disabled,1274,C
urgent,44,JavaScript
disable,5627,C
disable,3298,PHP
bump,2449,C#
bug,3925,C#
bug,9805,C
issue,2616,C
disable,886,C#
limit,967,Python
bumping,4722,Ruby
revert,3421,Objective-C
revert,17895,PHP
mock,429,Python
bumping,4166,C++
bump,8131,C
bump,5157,PHP
issue,5534,Ruby
suppression,1222,JavaScript
downgrade,148,PHP
fuck,876,Java
kill,859,Ruby
disabled,3131,JavaScript
chore(package,39,JavaScript
silly,340,Java
trivial,1357,Python
deprecate,476,Java
bumped,9163,JavaScript
strict,321,PHP
error,5141,JavaScript
error,2556,Ruby
bump,4994,C++
ignore,3881,C++
lazy,365,Java
plot,804,Python
suppression,310,Python
split,803,C#
object.observe,56,C++
split,2682,C++
sass,480,Ruby
split,1927,PHP
hack,1063,Python
bug,12958,Ruby
fist,223,JavaScript
split,2980,Ruby
error,1265,C++
hack,1374,JavaScript
issue,11987,JavaScript
bumping,3530,JavaScript
split,5283,JavaScript
fuck,336,C++
ignore,9474,Python
bugs,554,C++
disable,4256,C++
subversion,21,Python
rough,60,Objective-C
ignore,2903,Shell
junk,89,Java
bumping,1731,Python
