word,count,language
pinyin-enhance-stroke,11,C
header-top,12,PHP
54-landing-page---implement-new-layout-(responsive-grid,12,JavaScript
rosy,23,JavaScript
mono-love,12,C#
app/assets/partials/welcome.html,11,JavaScript
project/report/n-p(pure).jpg,26,C
contrib-clean,16,JavaScript
enchant.js、nineleap.enchant.js,11,JavaScript
pretty,265,C++
improve,42749,Ruby
well,818,JavaScript
correctly,1353,Ruby
simplest,50,JavaScript
honor,112,Ruby
works,1722,JavaScript
improve,19089,JavaScript
likes,101,JavaScript
better,5821,C++
glorious,7805,Shell
best,143,PHP
faster,635,Python
excel,100,C#
clear,1777,PHP
better,11259,Java
improved,8607,C++
support,9987,Java
clean,8006,C++
worked,1523,Python
clean,14519,Java
improved,22860,JavaScript
work,5752,Python
advanced,435,Java
improve,7057,C++
clean,21169,JavaScript
upgraded,4029,Java
graceful,62,JavaScript
clean,3874,Shell
improved,14409,Python
improve,3033,Shell
clear,1681,Ruby
case-sensitive,13,JavaScript
good,717,Java
improvements,399,C#
upgraded,4604,JavaScript
improve,6379,C
rapport,350,Java
simplifying,347,Java
worked,3015,Java
correct,6890,Java
progress,1959,Java
faster,458,Java
ready,1485,Java
fine-tune,49,PHP
nicer,1348,JavaScript
improved,12610,PHP
sublime,383,Shell
simplify,3258,C++
worked,3119,JavaScript
easier,257,JavaScript
feat,94,PHP
clear,2163,Java
convenience,103,Java
simplify,4587,Python
successful,150,Python
improve,12601,Python
progress,3881,JavaScript
clean,13118,Ruby
qa.hubbubhealth.com/employers/success-stories,16,Ruby
consistent,270,Python
improve,9296,PHP
work,822,Objective-C
improvements,2159,Java
better,9862,PHP
clean,12407,Python
improve,1350,Objective-C
progress,1478,Ruby
progress,891,C
fancy,129,Java
work,9352,JavaScript
enhanced,247,C#
support,11473,Python
better,13370,Ruby
better,17585,Python
restructure,537,Ruby
sublime,157,Ruby
wow,230,Java
clean,2303,Objective-C
correct,8385,Python
gem,5840,Ruby
improved,17463,Java
simplified,4324,JavaScript
rapport,281,C
refine,709,C++
rapport,138,C++
better,2300,C#
improve,12351,Java
success,2151,C
improved,5643,C
simplify,4106,Ruby
friendly,186,Ruby
pep,768,Python
protect,468,JavaScript
integrated,839,C++
consistent,162,C
correctly,1176,PHP
correct,12547,JavaScript
tidy,3526,JavaScript
wow,200,PHP
magic,340,JavaScript
relaxed,11,Objective-C
work,7192,Java
feat(docs,28,JavaScript
work,3910,C++
better,27661,JavaScript
support,6138,C++
improvement,1010,Java
improved,2570,Objective-C
works,1173,Java
simplified,1909,Ruby
recover,354,JavaScript
faster,726,JavaScript
properly,2500,JavaScript
cleared,430,Java
beautify,117,C++
support,16320,JavaScript
correctly,1438,Python
support,6977,C
restructured,185,Objective-C
supporting,341,Java
best,82,C
improving,2090,Java
enhanced,1211,JavaScript
improved,18971,Ruby
correctly,991,C++
master,694,C
proper,2822,JavaScript
prefer,514,Ruby
free,346,C++
work,5026,Ruby
correct,8638,Ruby
clean,8526,C
solid,23,C#
master,1407,Java
correct,7623,PHP
simpler,863,JavaScript
better,3717,Shell
supporting,520,JavaScript
enrich,46,JavaScript
good,1309,JavaScript
successfully,216,C++
restructure,1671,JavaScript
upgraded,950,C#
autonomous,43,C
successful,88,C
responsive,3684,JavaScript
restored,1532,Java
pretty,1238,JavaScript
feat,21,C++
ready,669,C++
supported,111,C
works,411,PHP
support,5467,PHP
enhance,1379,Java
improving,3567,JavaScript
pep-8,341,Python
enhancement,399,Java
significant,235,Python
simplify,524,C#
support,10687,Ruby
correct,5209,C++
best,169,Ruby
dynamic,560,C++
good,101,C#
progress,1157,PHP
simplified,2830,Java
work,3524,C
nifty,21,Java
feat(popover,11,JavaScript
improvements,1707,PHP
right,372,PHP
progress,1218,C++
improving,926,C++
refined,596,Python
success,81,C++
feat,1255,JavaScript
bonus,147,Java
correct,2666,Shell
tidy,2060,Ruby
clean,8101,PHP
restructure,870,Python
smart,27,C#
fresh,503,JavaScript
enhance,658,Python
