Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population,Language
New Zealand,379365,0.089214555,8921.46,4252277,All
Switzerland,387474,0.051111199,5111.12,7581000,All
Norway,250469,0.050002296,5000.23,5009150,All
Sweden,445017,0.046569902,4656.99,9555893,All
Svalbard and Jan Mayen,115,0.045098039,4509.8,2550,All
Iceland,13355,0.043232657,4323.27,308910,All
Tonga,5156,0.042062327,4206.23,122580,All
Finland,215034,0.041005721,4100.57,5244000,All
Denmark,216220,0.039427425,3942.74,5484000,All
British Indian Ocean Territory,141,0.03525,3525,4000,All
Netherlands,572533,0.034396696,3439.67,16645000,All
Canada,1132752,0.033633778,3363.38,33679000,All
United States,10071026,0.032462796,3246.28,310232863,All
Estonia,39999,0.03097888,3097.89,1291170,All
Jersey,2774,0.030546624,3054.66,90812,All
Costa Rica,126255,0.027955901,2795.59,4516220,All
United Kingdom,1681003,0.026961425,2696.14,62348447,All
Austria,196316,0.023926386,2392.64,8205000,All
Gibraltar,593,0.021266676,2126.67,27884,All
Australia,455580,0.021174252,2117.43,21515754,All
Germany,1690577,0.02066663,2066.66,81802257,All
Belgium,211921,0.020371143,2037.11,10403000,All
Czech Republic,207180,0.019776632,1977.66,10476000,All
Slovenia,39324,0.019593423,1959.34,2007000,All
France,1220324,0.018841352,1884.14,64768389,All
Singapore,83688,0.017801908,1780.19,4701069,All
Luxembourg,8081,0.016241975,1624.2,497538,All
Latvia,31952,0.014405972,1440.6,2217969,All
New Zealand,61022,0.014350429,1435.04,4252277,JavaScript
Israel,98522,0.01339709,1339.71,7353985,All
Netherlands Antilles,1730,0.012702189,1270.22,136197,All
Portugal,131898,0.012354627,1235.46,10676000,All
Croatia,51441,0.011454242,1145.42,4491000,All
Ireland,52104,0.011270806,1127.08,4622917,All
Liechtenstein,393,0.011228571,1122.86,35000,All
Anguilla,145,0.010940094,1094.01,13254,All
Hong Kong,71107,0.010307325,1030.73,6898686,All
Bulgaria,72233,0.010104234,1010.42,7148785,All
Japan,1282970,0.010079269,1007.93,127288000,All
Lithuania,34410,0.009652174,965.22,3565000,All
Belarus,92302,0.009530408,953.04,9685000,All
New Zealand,38358,0.009020579,902.06,4252277,Python
Hungary,87838,0.008799639,879.96,9982000,All
Uruguay,29284,0.008422203,842.22,3477000,All
Poland,307653,0.007990987,799.1,38500000,All
Slovakia,43310,0.007939505,793.95,5455000,All
Mali,109394,0.007929196,792.92,13796354,All
Andorra,666,0.007928571,792.86,84000,All
Monaco,260,0.007887153,788.72,32965,All
Taiwan,174084,0.007603786,760.38,22894384,All
Greece,82661,0.007514636,751.46,11000000,All
Faroe Islands,351,0.00727793,727.79,48228,All
Tuvalu,73,0.00697097,697.1,10472,All
New Zealand,29569,0.006953686,695.37,4252277,Ruby
Romania,141346,0.006436733,643.67,21959278,All
Ukraine,288055,0.006342645,634.26,45415596,All
Norway,30501,0.006089057,608.91,5009150,JavaScript
Chile,98816,0.005900699,590.07,16746491,All
Saint Vincent and the Grenadines,606,0.00581479,581.48,104217,All
Estonia,6909,0.005350961,535.1,1291170,JavaScript
Kiribati,491,0.005306215,530.62,92533,All
United States,1628405,0.005248976,524.9,310232863,JavaScript
Venezuela,139942,0.005140537,514.05,27223228,All
Guernsey,322,0.00493653,493.65,65228,All
Bahamas,1487,0.004927267,492.73,301790,All
Saint Barthelemy,41,0.004852071,485.21,8450,All
Iceland,1471,0.004761905,476.19,308910,Python
Finland,24579,0.004687071,468.71,5244000,JavaScript
Malta,1857,0.00460794,460.79,403000,All
Italy,273981,0.004540595,454.06,60340328,All
Saint Lucia,727,0.004517717,451.77,160922,All
Spain,208630,0.004486091,448.61,46505963,All
Cuba,49929,0.004370918,437.09,11423000,All
Colombia,188440,0.004262838,426.28,44205293,All
Isle of Man,316,0.004210582,421.06,75049,All
Cyprus,4617,0.004187083,418.71,1102677,All
New Zealand,17441,0.004101567,410.16,4252277,Java
Argentina,168563,0.004077164,407.72,41343201,All
Armenia,11970,0.004033019,403.3,2968000,All
Russia,563964,0.004008216,400.82,140702000,All
Canada,132725,0.003940883,394.09,33679000,JavaScript
United States,1202882,0.003877352,387.74,310232863,Ruby
New Zealand,15797,0.003714951,371.5,4252277,PHP
Costa Rica,16295,0.003608106,360.81,4516220,Ruby
Denmark,18999,0.003464442,346.44,5484000,JavaScript
United Kingdom,214407,0.003438851,343.89,62348447,JavaScript
Sao Tome and Principe,598,0.003401438,340.14,175808,JavaScript
American Samoa,195,0.003368981,336.9,57881,All
Marshall Islands,220,0.00334047,334.05,65859,All
Puerto Rico,13035,0.003328115,332.81,3916632,All
Costa Rica,14872,0.003293019,329.3,4516220,JavaScript
Norway,16441,0.003282194,328.22,5009150,Ruby
Niue,7,0.003231764,323.18,2166,JavaScript
Jamaica,9182,0.003224886,322.49,2847232,All
New Zealand,13557,0.003188174,318.82,4252277,C++
Macao,1421,0.003163416,316.34,449198,All
Serbia,23215,0.003160719,316.07,7344847,All
Curacao,444,0.003131922,313.19,141766,All
Macedonia,6285,0.003049491,304.95,2061000,All
Norway,15209,0.003036244,303.62,5009150,Java
Norway,15101,0.003014683,301.47,5009150,Python
Georgia,13627,0.002943197,294.32,4630000,All
Sweden,28117,0.002942373,294.24,9555893,JavaScript
Slovenia,5884,0.002931739,293.17,2007000,Python
New Zealand,12335,0.002900799,290.08,4252277,C
Iceland,877,0.002839015,283.9,308910,JavaScript
Sao Tome and Principe,494,0.002809884,280.99,175808,Python
South Korea,135039,0.002788757,278.88,48422644,All
South Africa,135030,0.002755714,275.57,49000000,All
Switzerland,20818,0.002746076,274.61,7581000,Python
Brazil,549034,0.002730109,273.01,201103330,All
Netherlands,45420,0.002728747,272.87,16645000,JavaScript
Switzerland,20268,0.002673526,267.35,7581000,JavaScript
Denmark,14587,0.00265992,265.99,5484000,PHP
Iceland,818,0.00264802,264.8,308910,Java
Australia,56771,0.002638578,263.86,21515754,JavaScript
United States,816423,0.002631646,263.16,310232863,Python
Malaysia,74408,0.002631608,263.16,28274729,All
