Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Vatican,90,0.09771987,9771.99,921
New Zealand,379365,0.089214555,8921.46,4252277
Switzerland,387474,0.051111199,5111.12,7581000
Norway,250469,0.050002296,5000.23,5009150
Sweden,445017,0.046569902,4656.99,9555893
Svalbard and Jan Mayen,115,0.045098039,4509.8,2550
Iceland,13355,0.043232657,4323.27,308910
Tonga,5156,0.042062327,4206.23,122580
Finland,215034,0.041005721,4100.57,5244000
Denmark,216220,0.039427425,3942.74,5484000
British Indian Ocean Territory,141,0.03525,3525,4000
Netherlands,572533,0.034396696,3439.67,16645000
Canada,1132752,0.033633778,3363.38,33679000
United States,10071026,0.032462796,3246.28,310232863
Estonia,39999,0.03097888,3097.89,1291170
Jersey,2774,0.030546624,3054.66,90812
Costa Rica,126255,0.027955901,2795.59,4516220
United Kingdom,1681003,0.026961425,2696.14,62348447
Austria,196316,0.023926386,2392.64,8205000
Gibraltar,593,0.021266676,2126.67,27884
Australia,455580,0.021174252,2117.43,21515754
Germany,1690577,0.02066663,2066.66,81802257
Belgium,211921,0.020371143,2037.11,10403000
Czech Republic,207180,0.019776632,1977.66,10476000
Slovenia,39324,0.019593423,1959.34,2007000
France,1220324,0.018841352,1884.14,64768389
Singapore,83688,0.017801908,1780.19,4701069
Luxembourg,8081,0.016241975,1624.2,497538
Latvia,31952,0.014405972,1440.6,2217969
Israel,98522,0.01339709,1339.71,7353985
Netherlands Antilles,1730,0.012702189,1270.22,136197
Portugal,131898,0.012354627,1235.46,10676000
Croatia,51441,0.011454242,1145.42,4491000
Ireland,52104,0.011270806,1127.08,4622917
Liechtenstein,393,0.011228571,1122.86,35000
Anguilla,145,0.010940094,1094.01,13254
Hong Kong,71107,0.010307325,1030.73,6898686
Bulgaria,72233,0.010104234,1010.42,7148785
Japan,1282970,0.010079269,1007.93,127288000
Lithuania,34410,0.009652174,965.22,3565000
Belarus,92302,0.009530408,953.04,9685000
Hungary,87838,0.008799639,879.96,9982000
Uruguay,29284,0.008422203,842.22,3477000
Poland,307653,0.007990987,799.1,38500000
Slovakia,43310,0.007939505,793.95,5455000
Mali,109394,0.007929196,792.92,13796354
Andorra,666,0.007928571,792.86,84000
Monaco,260,0.007887153,788.72,32965
Taiwan,174084,0.007603786,760.38,22894384
Greece,82661,0.007514636,751.46,11000000
Faroe Islands,351,0.00727793,727.79,48228
