word,count,language,type
pinyin-enhance-stroke,11,C,positive
header-top,12,PHP,positive
54-landing-page---implement-new-layout-(responsive-grid,12,JavaScript,positive
rosy,23,JavaScript,positive
mono-love,12,C#,positive
app/assets/partials/welcome.html,11,JavaScript,positive
project/report/n-p(pure).jpg,26,C,positive
contrib-clean,16,JavaScript,positive
enchant.js?ant/n-p(pure).jpghtml,11,JavaScript,positive
pretty,265,C++,positive
well,818,JavaScript,positive
correctly,1353,Ruby,positive
simplest,50,JavaScript,positive
honor,112,Ruby,positive
works,1722,JavaScript,positive
likes,101,JavaScript,positive
better,5821,C++,positive
glorious,7805,Shell,positive
best,143,PHP,positive
faster,635,Python,positive
excel,100,C#,positive
clear,1777,PHP,positive
better,11259,Java,positive
support,9987,Java,positive
clean,8006,C++,positive
worked,1523,Python,positive
clean,14519,Java,positive
work,5752,Python,positive
advanced,435,Java,positive
clean,21169,JavaScript,positive
upgraded,4029,Java,positive
graceful,62,JavaScript,positive
clean,3874,Shell,positive
clear,1681,Ruby,positive
case-sensitive,13,JavaScript,positive
good,717,Java,positive
upgraded,4604,JavaScript,positive
rapport,350,Java,positive
worked,3015,Java,positive
correct,6890,Java,positive
faster,458,Java,positive
ready,1485,Java,positive
fine-tune,49,PHP,positive
nicer,1348,JavaScript,positive
sublime,383,Shell,positive
worked,3119,JavaScript,positive
easier,257,JavaScript,positive
feat,94,PHP,positive
clear,2163,Java,positive
convenience,103,Java,positive
successful,150,Python,positive
clean,13118,Ruby,positive
qa.hubbubhealth.com/employers/success-stories,16,Ruby,positive
consistent,270,Python,positive
work,822,Objective-C,positive
better,9862,PHP,positive
clean,12407,Python,positive
fancy,129,Java,positive
work,9352,JavaScript,positive
enhanced,247,C#,positive
support,11473,Python,positive
better,13370,Ruby,positive
better,17585,Python,positive
restructure,537,Ruby,positive
sublime,157,Ruby,positive
wow,230,Java,positive
clean,2303,Objective-C,positive
correct,8385,Python,positive
rapport,281,C,positive
refine,709,C++,positive
rapport,138,C++,positive
better,2300,C#,positive
success,2151,C,positive
friendly,186,Ruby,positive
pep,768,Python,positive
protect,468,JavaScript,positive
consistent,162,C,positive
correctly,1176,PHP,positive
correct,12547,JavaScript,positive
tidy,3526,JavaScript,positive
wow,200,PHP,positive
magic,340,JavaScript,positive
relaxed,11,Objective-C,positive
work,7192,Java,positive
feat(docs,28,JavaScript,positive
work,3910,C++,positive
better,27661,JavaScript,positive
support,6138,C++,positive
works,1173,Java,positive
recover,354,JavaScript,positive
faster,726,JavaScript,positive
properly,2500,JavaScript,positive
cleared,430,Java,positive
beautify,117,C++,positive
support,16320,JavaScript,positive
correctly,1438,Python,positive
support,6977,C,positive
restructured,185,Objective-C,positive
supporting,341,Java,positive
best,82,C,positive
enhanced,1211,JavaScript,positive
correctly,991,C++,positive
proper,2822,JavaScript,positive
prefer,514,Ruby,positive
free,346,C++,positive
work,5026,Ruby,positive
correct,8638,Ruby,positive
clean,8526,C,positive
solid,23,C#,positive
correct,7623,PHP,positive
simpler,863,JavaScript,positive
better,3717,Shell,positive
supporting,520,JavaScript,positive
enrich,46,JavaScript,positive
good,1309,JavaScript,positive
successfully,216,C++,positive
restructure,1671,JavaScript,positive
upgraded,950,C#,positive
autonomous,43,C,positive
successful,88,C,positive
responsive,3684,JavaScript,positive
restored,1532,Java,positive
pretty,1238,JavaScript,positive
feat,21,C++,positive
ready,669,C++,positive
supported,111,C,positive
works,411,PHP,positive
support,5467,PHP,positive
enhance,1379,Java,positive
pep-8,341,Python,positive
enhancement,399,Java,positive
significant,235,Python,positive
support,10687,Ruby,positive
correct,5209,C++,positive
best,169,Ruby,positive
good,101,C#,positive
work,3524,C,positive
nifty,21,Java,positive
feat(popover,11,JavaScript,positive
